Time,Slow,Average,Fast
1.0,0.504,0.504,0.504
1.5,0.50308063959,0.50080283356,0.49415694053
2.0,0.50216295303,0.49762587293,0.48450519683
2.5,0.50124693729,0.49446899135,0.47504108569
3.0,0.50033258933,0.49133206287,0.4657609935
3.5,0.49941990614,0.4882149623,0.45666137491
4.0,0.49850888468,0.48511756524,0.44773875163
4.5,0.49759952196,0.48203974804,0.43898971119
5.0,0.49669181495,0.47898138783,0.43041090575
5.5,0.49578576066,0.47594236248,0.42199905092
6.0,0.49488135609,0.47292255064,0.41375092462
6.5,0.49397859824,0.4699218317,0.40566336588
7.0,0.49307748413,0.46694008579,0.3977332738
7.5,0.49217801077,0.46397719379,0.38995760639
8.0,0.4912801752,0.46103303732,0.3823333795
8.5,0.49038397443,0.45810749872,0.37485766576
9.0,0.48948940551,0.45520046107,0.36752759356
9.5,0.48859646546,0.45231180816,0.36034034596
10.0,0.48770515135,0.44944142453,0.35329315974
10.5,0.48681546022,0.4465891954,0.34638332436
11.0,0.48592738911,0.44375500673,0.33960818104
11.5,0.48504093511,0.44093874515,0.33296512174
12.0,0.48415609526,0.43814029804,0.32645158824
12.5,0.48327286664,0.43535955345,0.32006507124
13.0,0.48239124634,0.43259640012,0.31380310942
13.5,0.48151123142,0.42985072749,0.30766328855
14.0,0.48063281899,0.42712242569,0.30164324063
14.5,0.47975600612,0.42441138552,0.295740643
15.0,0.47888078992,0.42171749847,0.28995321752
15.5,0.4780071675,0.41904065668,0.28427872972
16.0,0.47713513595,0.416380753,0.27871498799
16.5,0.4762646924,0.41373768091,0.27325984276
17.0,0.47539583396,0.41111133456,0.26791118575
17.5,0.47452855775,0.40850160877,0.26266694917
18.0,0.47366286091,0.40590839899,0.25752510493
18.5,0.47279874057,0.40333160135,0.25248366396
19.0,0.47193619386,0.40077111259,0.24754067542
19.5,0.47107521794,0.39822683012,0.24269422601
20.0,0.47021580995,0.39569865197,0.23794243924
20.5,0.46935796705,0.39318647682,0.23328347476
21.0,0.46850168639,0.39069020397,0.22871552765
21.5,0.46764696515,0.38820973335,0.22423682779
22.0,0.46679380049,0.3857449655,0.21984563915
22.5,0.46594218959,0.38329580159,0.21554025919
23.0,0.46509212962,0.38086214341,0.2113190182
23.5,0.46424361778,0.37844389334,0.2071802787
24.0,0.46339665125,0.3760409544,0.20312243478
24.5,0.46255122722,0.37365323018,0.19914391159
25.0,0.46170734291,0.3712806249,0.19524316463
25.5,0.46086499552,0.36892304334,0.1914186793
26.0,0.46002418224,0.36658039091,0.18766897024
26.5,0.45918490032,0.3642525736,0.18399258079
27.0,0.45834714695,0.36193949795,0.1803880825
27.5,0.45751091937,0.35964107114,0.1768540745
28.0,0.45667621481,0.35735720089,0.17338918307
28.5,0.4558430305,0.35508779549,0.16999206105
29.0,0.45501136369,0.35283276383,0.16666138736
29.5,0.45418121162,0.35059201535,0.16339586651
30.0,0.45335257154,0.34836546006,0.16019422811
30.5,0.45252544071,0.34615300852,0.15705522635
31.0,0.45169981638,0.34395457187,0.15397763961
31.5,0.45087569583,0.34177006177,0.15096026991
32.0,0.45005307632,0.33959939047,0.14800194252
32.5,0.44923195513,0.33744247075,0.14510150548
33.0,0.44841232954,0.33529921591,0.14225782919
33.5,0.44759419683,0.33316953984,0.13946980594
34.0,0.44677755429,0.33105335692,0.13673634955
34.5,0.44596239923,0.3289505821,0.1340563949
35.0,0.44514872893,0.32686113083,0.13142889756
35.5,0.44433654071,0.32478491912,0.12885283339
36.0,0.44352583186,0.32272186348,0.12632719811
36.5,0.44271659972,0.32067188096,0.123851007
37.0,0.44190884159,0.3186348891,0.12142329442
37.5,0.44110255481,0.31661080598,0.11904311354
38.0,0.44029773669,0.31459955018,0.11670953591
38.5,0.43949438457,0.31260104081,0.11442165116
39.0,0.4386924958,0.31061519744,0.11217856658
39.5,0.43789206771,0.3086419402,0.10997940685
40.0,0.43709309765,0.30668118966,0.10782331369
40.5,0.43629558298,0.30473286694,0.10570944549
41.0,0.43549952106,0.30279689363,0.10363697703
41.5,0.43470490924,0.30087319179,0.10160509916
42.0,0.43391174489,0.29896168399,0.099613018459
42.5,0.43312002538,0.29706229329,0.097659956977
43.0,0.4323297481,0.29517494323,0.095745151899
43.5,0.43154091042,0.2932995578,0.093867855269
44.0,0.43075350973,0.29143606149,0.092027333699
44.5,0.42996754342,0.28958437927,0.09022286809
45.0,0.42918300889,0.28774443655,0.088453753353
45.5,0.42839990353,0.28591615924,0.086719298137
46.0,0.42761822475,0.28409947369,0.085018824569
46.5,0.42683796996,0.28229430672,0.083351667985
47.0,0.42605913657,0.28050058561,0.08171717668
47.5,0.42528172201,0.27871823808,0.080114711657
48.0,0.4245057237,0.27694719233,0.078543646377
48.5,0.42373113906,0.27518737698,0.077003366521
49.0,0.42295796553,0.27343872112,0.075493269752
49.5,0.42218620054,0.27170115427,0.074012765482
50.0,0.42141584154,0.2699746064,0.072561274647
50.5,0.42064688598,0.26825900791,0.071138229478
51.0,0.4198793313,0.26655428965,0.069743073289
51.5,0.41911317496,0.26486038289,0.068375260255
52.0,0.41834841443,0.26317721932,0.067034255208
52.5,0.41758504716,0.2615047311,0.065719533424
53.0,0.41682307063,0.25984285077,0.064430580423
53.5,0.41606248231,0.25819151131,0.063166891771
54.0,0.41530327968,0.25655064614,0.061927972884
54.5,0.41454546023,0.25492018905,0.060713338834
55.0,0.41378902143,0.2533000743,0.059522514166
55.5,0.41303396079,0.25169023652,0.05835503271
56.0,0.4122802758,0.25009061077,0.057210437405
56.5,0.41152796397,0.24850113251,0.056088280115
57.0,0.41077702279,0.24692173761,0.054988121462
57.5,0.41002744978,0.24535236235,0.053909530653
58.0,0.40927924246,0.24379294338,0.052852085312
58.5,0.40853239834,0.24224341779,0.051815371318
59.0,0.40778691494,0.24070372302,0.050798982642
59.5,0.4070427898,0.23917379694,0.049802521195
60.0,0.40630002045,0.23765357778,0.048825596665
60.5,0.40555860443,0.23614300419,0.047867826374
61.0,0.40481853927,0.23464201518,0.046928835122
61.5,0.40407982253,0.23315055014,0.046008255048
62.0,0.40334245175,0.23166854886,0.045105725481
62.5,0.4026064245,0.2301959515,0.044220892805
63.0,0.40187173832,0.22873269859,0.043353410318
63.5,0.40113839078,0.22727873105,0.0425029381
64.0,0.40040637946,0.22583399014,0.041669142878
64.5,0.39967570192,0.22439841751,0.040851697899
65.0,0.39894635575,0.22297195519,0.040050282799
65.5,0.39821833851,0.22155454554,0.039264583486
66.0,0.3974916478,0.22014613132,0.038494292008
66.5,0.39676628122,0.21874665561,0.03773910644
67.0,0.39604223634,0.21735606189,0.036998730767
67.5,0.39531951078,0.21597429395,0.036272874761
68.0,0.39459810213,0.21460129597,0.035561253878
68.5,0.39387800801,0.21323701246,0.03486358914
69.0,0.39315922602,0.2118813883,0.03417960703
69.5,0.39244175378,0.21053436868,0.033509039383
70.0,0.39172558892,0.20919589918,0.032851623284
70.5,0.39101072905,0.20786592568,0.032207100963
71.0,0.3902971718,0.20654439443,0.031575219697
71.5,0.38958491481,0.20523125201,0.030955731709
72.0,0.38887395572,0.20392644532,0.030348394075
72.5,0.38816429217,0.20262992163,0.029752968624
73.0,0.3874559218,0.20134162849,0.02916922185
73.5,0.38674884227,0.20006151383,0.028596924818
74.0,0.38604305122,0.19878952588,0.028035853076
74.5,0.38533854633,0.1975256132,0.027485786568
75.0,0.38463532524,0.19626972469,0.026946509546
75.5,0.38393338563,0.19502180953,0.026417810488
76.0,0.38323272518,0.19378181727,0.025899482013
76.5,0.38253334155,0.19254969774,0.025391320802
77.0,0.38183523242,0.19132540112,0.02489312752
77.5,0.38113839548,0.19010887786,0.024404706733
78.0,0.38044282843,0.18890007876,0.023925866838
78.5,0.37974852894,0.18769895491,0.023456419984
79.0,0.37905549472,0.18650545772,0.022996181998
79.5,0.37836372347,0.1853195389,0.022544972318
80.0,0.37767321289,0.18414115045,0.022102613917
80.5,0.3769839607,0.18297024469,0.021668933237
81.0,0.3762959646,0.18180677425,0.021243760119
81.5,0.37560922231,0.18065069203,0.02082692774
82.0,0.37492373156,0.17950195125,0.020418272544
82.5,0.37423949007,0.1783605054,0.020017634179
83.0,0.37355649556,0.1772263083,0.019624855436
83.5,0.37287474578,0.17609931402,0.019239782188
84.0,0.37219423847,0.17497947695,0.018862263324
84.5,0.37151497135,0.17386675175,0.018492150698
85.0,0.37083694219,0.17276109338,0.018129299065
85.5,0.37016014872,0.17166245706,0.017773566027
86.0,0.36948458871,0.17057079833,0.017424811978
86.5,0.36881025992,0.16948607297,0.017082900045
87.0,0.3681371601,0.16840823706,0.01674769604
87.5,0.36746528701,0.16733724696,0.016419068405
88.0,0.36679463844,0.16627305929,0.016096888158
88.5,0.36612521216,0.16521563096,0.015781028849
89.0,0.36545700594,0.16416491914,0.015471366502
89.5,0.36479001757,0.16312088127,0.015167779574
90.0,0.36412424483,0.16208347507,0.014870148905
90.5,0.36345968552,0.16105265851,0.014578357669
91.0,0.36279633743,0.16002838984,0.014292291329
91.5,0.36213419835,0.15901062756,0.014011837598
92.0,0.36147326609,0.15799933044,0.013736886384
92.5,0.36081353846,0.15699445752,0.013467329759
93.0,0.36015501326,0.15599596807,0.013203061907
93.5,0.35949768832,0.15500382164,0.012943979087
94.0,0.35884156145,0.15401797804,0.012689979594
94.5,0.35818663046,0.15303839731,0.012440963715
95.0,0.3575328932,0.15206503975,0.012196833692
95.5,0.35688034748,0.15109786593,0.011957493685
96.0,0.35622899114,0.15013683665,0.011722849732
96.5,0.35557882203,0.14918191295,0.011492809714
97.0,0.35492983797,0.14823305614,0.011267283317
97.5,0.35428203683,0.14729022775,0.011046182
98.0,0.35363541644,0.14635338958,0.010829418955
98.5,0.35298997466,0.14542250364,0.010616909079
99.0,0.35234570935,0.1444975322,0.010408568937
99.5,0.35170261837,0.14357843776,0.010204316729
100.0,0.35106069958,0.14266518306,0.010004072261
100.5,0.35041995086,0.14175773108,0.0098077569099
101.0,0.34978037007,0.14085604503,0.0096152935947
101.5,0.3491419551,0.13996008835,0.0094266067464
102.0,0.34850470382,0.1390698247,0.009241622278
102.5,0.34786861412,0.13818521799,0.0090602675551
103.0,0.34723368389,0.13730623235,0.0088824713679
103.5,0.34659991102,0.13643283214,0.0087081639031
104.0,0.3459672934,0.13556498193,0.0085372767165
104.5,0.34533582893,0.13470264653,0.0083697427065
105.0,0.34470551553,0.13384579097,0.0082054960871
105.5,0.34407635108,0.13299438049,0.0080444723629
106.0,0.34344833352,0.13214838056,0.0078866083032
106.5,0.34282146074,0.13130775687,0.0077318419175
107.0,0.34219573068,0.13047247531,0.0075801124313
107.5,0.34157114124,0.12964250201,0.0074313602619
108.0,0.34094769037,0.1288178033,0.0072855269953
108.5,0.34032537598,0.12799834571,0.0071425553633
109.0,0.33970419601,0.12718409602,0.0070023892209
109.5,0.33908414841,0.12637502117,0.0068649735244
110.0,0.3384652311,0.12557108835,0.0067302543097
110.5,0.33784744204,0.12477226494,0.0065981786713
111.0,0.33723077917,0.12397851852,0.0064686947413
111.5,0.33661524045,0.12318981689,0.0063417516693
112.0,0.33600082382,0.12240612805,0.0062172996024
112.5,0.33538752726,0.12162742019,0.0060952896655
113.0,0.33477534873,0.12085366171,0.0059756739423
113.5,0.33416428618,0.12008482122,0.0058584054564
114.0,0.3335543376,0.1193208675,0.0057434381529
114.5,0.33294550096,0.11856176956,0.0056307268804
