Time,C_B_target,C_B_pat,CYP3A4_2_SOC,CYP3A4_3_SOC,CYP3A4_4_SOC,CYP3A4_5_SOC,CYP3A4_7_SOC,CYP3A4_8_SOC,CYP3A4_9_SOC,CYP3A4_10_SOC,CYP3A4_11_SOC,CYP3A4_12_SOC,CYP3A4_13_SOC,CYP3A4_14_SOC,CYP3A4_15_SOC,CYP3A4_16_SOC,CYP3A4_17_SOC,CYP3A4_18_SOC,CYP3A4_19_SOC,CYP3A4_20_SOC,CYP3A4_21_SOC,CYP3A4_23_SOC,CYP3A4_24_SOC,CYP3A4_28_SOC,CYP3A4_29_SOC,CYP3A4_31_SOC,CYP3A4_32_SOC,CYP3A4_33_SOC,CYP3A4_34_SOC
1.0,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504
1.5,0.50080283356,0.50352677555,0.50352677555,0.50327813877,0.50310685789,0.50366845496,0.50360033155,0.50391800252,0.50340073469,0.50324601084,0.50165986534,0.50391801025,0.5038034138,0.50326402298,0.49989676647,0.50318841286,0.50395499798,0.50344359161,0.50261667114,0.50387648208,0.50392206219,0.5028341631,0.50322891246,0.50081652046,0.49415694053,0.50228908267,0.50165434299,0.50285810066,0.50047463692
2.0,0.49762587293,0.50305399533,0.50305399533,0.50255731021,0.5022152975,0.50333712791,0.50320097971,0.50383601838,0.50280218117,0.50249314798,0.49933058904,0.50383603383,0.5036069042,0.50252911896,0.49582681475,0.50237812988,0.50390999997,0.50288779665,0.50123713235,0.50375299442,0.50384413644,0.50167101735,0.50245900294,0.49765304017,0.48450519683,0.5005839539,0.49931957662,0.5017187798,0.49697381062
2.5,0.49446899135,0.50258165895,0.50258165895,0.50183751284,0.50132531603,0.50300601872,0.50280194422,0.50375404758,0.50220433862,0.50174140975,0.49701212076,0.50375407075,0.50341047116,0.5017952864,0.49178987689,0.50156914897,0.50386500599,0.50233261446,0.49986137328,0.50362953701,0.50376622273,0.50051055656,0.50169026962,0.49450943484,0.47504108569,0.49888459424,0.49699565056,0.50058203164,0.49349735203
3.0,0.49133206287,0.50210976598,0.50210976598,0.50111874519,0.5004369107,0.50267512724,0.50240322484,0.50367209011,0.50160720619,0.50099079447,0.49470441043,0.50367212099,0.50321411468,0.50106252372,0.48778568705,0.50076146805,0.50382001602,0.50177804435,0.49848938362,0.50350610985,0.50368832107,0.49935277456,0.50092271073,0.49138558095,0.4657609935,0.49719098431,0.49468251473,0.49944785041,0.49004509321
3.5,0.4882149623,0.501638316,0.501638316,0.50040100579,0.49955007871,0.50234445332,0.50200482132,0.50359014597,0.50101078303,0.50024130047,0.49240740819,0.50359018457,0.5030178347,0.50033082939,0.48381398154,0.49995508503,0.50377503006,0.50122408566,0.49712115306,0.50338271294,0.50361043145,0.4981976652,0.50015632447,0.48828135575,0.45666137491,0.49550310477,0.49238011926,0.49831623034,0.48661686734
4.0,0.48511756524,0.5011673086,0.5011673086,0.49968429317,0.49866481728,0.50201399683,0.5016067334,0.50350821517,0.5004150683,0.49949292608,0.49012106443,0.50350826146,0.5028216312,0.49960020184,0.47987449873,0.49914999785,0.50373004813,0.50067073772,0.49575667136,0.50325934625,0.50353255388,0.49704522231,0.49939110906,0.4851966372,0.44773875163,0.49382093638,0.49008841452,0.49718716569,0.48321250876
4.5,0.48203974804,0.50069674336,0.50069674336,0.49896860586,0.49778112363,0.50168375762,0.50120896085,0.50342629768,0.49982006117,0.49874566964,0.48784532974,0.50342635169,0.50262550416,0.49887063952,0.47596697906,0.49834620442,0.5036850702,0.50011799984,0.49439592827,0.5031360098,0.50345468834,0.49589543979,0.49862706272,0.48213130403,0.43898971119,0.49214445993,0.4878073511,0.49606065074,0.4798318529
5.0,0.47898138783,0.50022661987,0.50022661987,0.49825394241,0.49689899499,0.50135373555,0.5008115034,0.50334439353,0.49922576079,0.49799952947,0.48558015497,0.50334445523,0.50242945354,0.49814214089,0.47209116505,0.49754370268,0.5036400963,0.49956587136,0.49303891358,0.50301270356,0.50337683485,0.49474831151,0.49786418365,0.4790852357,0.43041090575,0.49047365628,0.48553687983,0.49493667975,0.47647473631
5.5,0.47594236248,0.49975693772,0.49975693772,0.49754030135,0.49601842859,0.50102393047,0.50041436081,0.50326250269,0.49863216634,0.49725450391,0.48332549117,0.50326257209,0.50223347931,0.4974147044,0.46824680126,0.49674249056,0.5035951264,0.49901435162,0.49168561712,0.50288942753,0.50329899339,0.49360383136,0.49710247009,0.47605831239,0.42199905092,0.48880850638,0.48327695174,0.49381524703,0.47314099667
