Time,C_B_target,CYP3A4_2_OCT,CYP3A4_3_OCT,CYP3A4_4_OCT,CYP3A4_5_OCT,CYP3A4_7_OCT,CYP3A4_8_OCT,CYP3A4_9_OCT,CYP3A4_10_OCT,CYP3A4_11_OCT,CYP3A4_12_OCT,CYP3A4_13_OCT,CYP3A4_14_OCT,CYP3A4_15_OCT,CYP3A4_16_OCT,CYP3A4_17_OCT,CYP3A4_18_OCT,CYP3A4_19_OCT,CYP3A4_20_OCT,CYP3A4_21_OCT,CYP3A4_23_OCT,CYP3A4_24_OCT,CYP3A4_28_OCT,CYP3A4_29_OCT,CYP3A4_31_OCT,CYP3A4_32_OCT,CYP3A4_33_OCT,CYP3A4_34_OCT
1.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.50080283356,0.15212148073,0.19533911707,0.22482630246,0.128329156,0.13967763889,0.0899319789,0.17396517263,0.20094757455,0.42221802842,0.089931720648,0.1068689698,0.19782751216,0.52402771833,0.21097198071,0.084775574958,0.16653759503,0.30331815382,0.095904546212,0.089358535441,0.26996965412,0.20391091989,0.49829090581,0.67708211168,0.34913212798,0.42296290034,0.26628224095,0.51026604872
2.0,0.49762587293,0.15197862924,0.19505913526,0.22442774323,0.1282447078,0.13956679276,0.089917345294,0.17375818496,0.20064668654,0.42025740617,0.089917087331,0.10682725193,0.19753834908,0.51976206673,0.21063183984,0.084768004197,0.16635357336,0.30248504473,0.095881037263,0.089344714879,0.26934456148,0.20359868011,0.4951432929,0.66388085916,0.34794571231,0.42099363189,0.2656779727,0.50669707771
2.5,0.49446899135,0.15183591189,0.19477955456,0.22402989035,0.12816031516,0.13945603457,0.08990271407,0.17355144348,0.20034624881,0.41830588326,0.089902456394,0.10678555035,0.1972496084,0.51553100409,0.21029224689,0.084760434113,0.16616975494,0.30165422145,0.095857534076,0.089330896455,0.26872091457,0.20328691818,0.49201545634,0.65093534628,0.34676331895,0.41903351362,0.26507507327,0.50315294393
3.0,0.49133206287,0.15169332855,0.1945003744,0.22363274255,0.12807597806,0.13934536424,0.089888085226,0.17334494789,0.20004626066,0.41636341752,0.089887827838,0.10674386504,0.19696128951,0.5113342521,0.20995320097,0.084752864705,0.16598613955,0.30082567772,0.09583403665,0.089317080169,0.26809871006,0.20297563335,0.48890727322,0.63824068205,0.34558493431,0.41708250321,0.26447353957,0.49963347627
3.5,0.4882149623,0.1515508791,0.19422159422,0.2232362986,0.12799169644,0.13923478172,0.089873458762,0.17313869792,0.19974672144,0.41442996696,0.089873201662,0.10670219601,0.19667339179,0.50717153465,0.2096147012,0.084745295973,0.16580272696,0.2999994073,0.095810544984,0.089303266019,0.26747794461,0.20266482491,0.48581862136,0.62579206659,0.34441054487,0.41514055849,0.2638733685,0.49613850476
4.0,0.48511756524,0.15140856341,0.19394321343,0.22284055723,0.12790747029,0.13912428694,0.089858834679,0.17293269325,0.19944763048,0.41250548977,0.089858577866,0.10666054323,0.19638591462,0.50304257782,0.20927674671,0.084737727916,0.16561951695,0.29917540396,0.095787059076,0.089289454005,0.2668586149,0.20235449211,0.48274937933,0.61358478953,0.34324013714,0.41320763752,0.26327455701,0.49266786062
4.5,0.48203974804,0.15126638135,0.19366523146,0.22244551722,0.12782329955,0.13901387981,0.089844212975,0.17272693361,0.19914898709,0.41058994437,0.08984395645,0.10661890671,0.1960988574,0.49894710987,0.20893933661,0.084730160536,0.16543650929,0.2983536615,0.095763578925,0.089275644128,0.26624071763,0.20204463424,0.47969942645,0.60161422843,0.3420736977,0.41128369852,0.26267710201,0.48922137616
5.0,0.47898138783,0.1511243328,0.19338764775,0.22205117731,0.12773918419,0.13890356028,0.08982959365,0.1725214187,0.19885079061,0.40868328934,0.089829337412,0.10657728644,0.19581221951,0.49488486121,0.20860247004,0.084722593831,0.16525370376,0.29753417373,0.095740104529,0.089261836386,0.26562424949,0.20173525057,0.47666864275,0.58987584724,0.34091121314,0.40936869992,0.26208100044,0.48579888486
5.5,0.47594236248,0.15098241764,0.19311046172,0.22165753627,0.12765512418,0.13879332827,0.089814976703,0.17231614823,0.19855304038,0.40678548346,0.089814720753,0.10653568242,0.19552600033,0.49085556439,0.20826614611,0.084715027802,0.16507110015,0.29671693448,0.095716635887,0.08924803078,0.26500920717,0.20142634037,0.47365690902,0.57836519472,0.33975267011,0.40746260035,0.26148624926,0.4824002213
6.0,0.47292255064,0.15084063574,0.1928336728,0.22126459285,0.12757111948,0.13868318371,0.089800362136,0.17211112191,0.19825573573,0.40489648571,0.089800106472,0.10649409463,0.19524019926,0.48685895407,0.20793036396,0.084707462449,0.16488869821,0.29590193758,0.095693172998,0.089234227309,0.26439558739,0.20111790292,0.47066410674,0.56707790302,0.33859805532,0.4055653586,0.2608928454,0.4790252212
6.5,0.4699218317,0.15069898698,0.19255728043,0.22087234583,0.12748717006,0.13857312654,0.089785749946,0.17190633946,0.19795887598,0.40301625526,0.089785494569,0.10645252307,0.19495481569,0.48289476703,0.20759512272,0.084699897771,0.16470649774,0.2950891769,0.09566971586,0.089220425973,0.26378338686,0.2008099375,0.46769011815,0.5560096861,0.3374473555,0.40367693369,0.26030078584,0.47567372137
7.0,0.46694008579,0.15055747122,0.19228128404,0.22048079396,0.12740327587,0.13846315668,0.089771140133,0.17170180057,0.19766246048,0.40114475144,0.089770885044,0.10641096774,0.19466984901,0.47896274213,0.20726042151,0.084692333769,0.16452449852,0.29427864632,0.095646264471,0.089206626772,0.26317260231,0.20050244338,0.46473482618,0.54515633835,0.33630055744,0.40179728478,0.25971006753,0.47234555974
7.5,0.46397719379,0.15041608835,0.19200568306,0.22008993603,0.12731943688,0.13835327407,0.089756532698,0.17149750496,0.19736648857,0.39928193381,0.089756277895,0.10636942863,0.19438529861,0.4750626203,0.20692625946,0.084684770442,0.16434270031,0.29347033972,0.095622818831,0.089192829704,0.26256323048,0.20019541984,0.46179811448,0.53451373308,0.33515764798,0.39992637127,0.25912068745,0.46904057532
8.0,0.46103303732,0.15027483823,0.19173047692,0.21969977079,0.12723565306,0.13824347864,0.08974192764,0.17129345234,0.19707095957,0.39742776209,0.089741673124,0.10632790572,0.19410116388,0.47119414453,0.20659263572,0.084677207791,0.16416110289,0.29266425103,0.095599378938,0.089179034771,0.26195526809,0.19988886618,0.45887986742,0.52407782117,0.33401861397,0.3980641527,0.25853264258,0.46575860822
8.5,0.45810749872,0.15013372076,0.19145566507,0.21931029703,0.12715192436,0.13813377031,0.089727324958,0.17108964242,0.19677587283,0.3955821962,0.089727070728,0.10628639903,0.19381744421,0.46735705985,0.20625954941,0.084669645815,0.16397970605,0.29186037416,0.09557594479,0.089165241971,0.26134871191,0.19958278166,0.45597997006,0.51384462964,0.33288344235,0.39621058882,0.2579459299,0.46249949964
9.0,0.45520046107,0.14999273579,0.19118124693,0.21892151351,0.12706825076,0.13802414902,0.089712724653,0.17088607492,0.19648122769,0.39374519623,0.089712470709,0.10624490853,0.19353413901,0.46355111333,0.20592699966,0.084662084514,0.16379850957,0.29105870306,0.095552516386,0.089151451304,0.26074355867,0.19927716557,0.45309830817,0.5038102603,0.33175212007,0.39436563957,0.2573605464,0.45926309184
9.5,0.45231180816,0.14985188321,0.19090722194,0.21853341901,0.12698463221,0.1379146147,0.089698126722,0.17068274955,0.19618702348,0.39191672247,0.089697873065,0.10620343422,0.19325124766,0.45977605402,0.20559498563,0.084654523888,0.16361751322,0.29025923169,0.095529093725,0.08913766277,0.26013980515,0.19897201719,0.45023476821,0.49397088839,0.33062463413,0.39252926505,0.25677648908,0.45604922815
