Time,CYP3A4_1A_n1_SOC_N,CYP3A4_1A_n2_SOC_N,CYP3A4_1A_n3_SOC_N,CYP3A4_1A_n4_SOC_N,CYP3A4_2_n1_SOC_N,CYP3A4_3_n1_SOC_N,CYP3A4_4_n1_SOC_N,CYP3A4_4_n2_SOC_N,CYP3A4_4_n3_SOC_N,CYP3A4_4_n4_SOC_N,CYP3A4_5_n1_SOC_N,CYP3A4_7_n1_SOC_N,CYP3A4_8_n1_SOC_N,CYP3A4_9_n1_SOC_N,CYP3A4_10_n1_SOC_N,CYP3A4_11_n1_SOC_N,CYP3A4_11_n2_SOC_N,CYP3A4_11_n3_SOC_N,CYP3A4_11_n4_SOC_N,CYP3A4_12_n1_SOC_N,CYP3A4_13_n1_SOC_N,CYP3A4_14_n1_SOC_N,CYP3A4_15_n1_SOC_N,CYP3A4_15_n2_SOC_N,CYP3A4_15_n3_SOC_N,CYP3A4_15_n4_SOC_N,CYP3A4_16_n1_SOC_N,CYP3A4_17_n1_SOC_N,CYP3A4_18_n1_SOC_N,CYP3A4_19_n1_SOC_N,CYP3A4_20_n1_SOC_N,CYP3A4_21_n1_SOC_N,CYP3A4_23_n1_SOC_N,CYP3A4_24_n1_SOC_N,CYP3A4_28_n1_SOC_N,CYP3A4_28_n2_SOC_N,CYP3A4_28_n3_SOC_N,CYP3A4_28_n4_SOC_N,CYP3A4_29_n1_SOC_N,CYP3A4_29_n2_SOC_N,CYP3A4_29_n3_SOC_N,CYP3A4_29_n4_SOC_N,CYP3A4_31_n1_SOC_N,CYP3A4_32_n1_SOC_N,CYP3A4_32_n2_SOC_N,CYP3A4_32_n3_SOC_N,CYP3A4_32_n4_SOC_N,CYP3A4_33_n1_SOC_N,CYP3A4_34_n1_SOC_N,CYP3A4_34_n2_SOC_N,CYP3A4_34_n3_SOC_N,CYP3A4_34_n4_SOC_N
865,1.3805714001e-05,1.3805714001e-05,1.3805714001e-05,1.3805714001e-05,2.998726021e-13,3.6732593276e-12,1.7940778008e-11,1.7940778008e-11,1.7940778008e-11,1.7940778008e-11,6.4187095781e-14,1.3619691688e-13,3.4142975523e-15,1.10161332e-12,4.9896332774e-12,3.3845609217e-07,3.3845609217e-07,3.3845609217e-07,3.3845609217e-07,3.4139784212e-15,1.3611541292e-14,4.2056302754e-12,0.00023360682118,0.00023360682118,0.00023360682118,0.00023360682118,8.5587393374e-12,2.1557277063e-15,7.1319475689e-13,9.6673805516e-10,5.6758497885e-15,3.2473351598e-15,1.816791785e-10,5.862484208e-12,1.3235905905e-05,1.3235905905e-05,1.3235905905e-05,1.3235905905e-05,0.35097328854,0.35097328854,0.35097328854,0.35097328854,9.3166233721e-09,3.5052963029e-07,3.5052963029e-07,3.5052963029e-07,3.5052963029e-07,1.5015721392e-10,4.3056797916e-05,4.3056797916e-05,4.3056797916e-05,4.3056797916e-05
870,1.3494380334e-05,1.3494380334e-05,1.3494380334e-05,1.3494380334e-05,2.5474569532e-13,3.2011151994e-12,1.5876730551e-11,1.5876730551e-11,1.5876730551e-11,1.5876730551e-11,5.3641171192e-14,1.1474150954e-13,2.7619696861e-15,9.4849019706e-13,4.361429182e-12,3.2407435417e-07,3.2407435417e-07,3.2407435417e-07,3.2407435417e-07,2.7617086206e-15,1.1183513652e-14,3.6699636042e-12,0.0002309933296,0.0002309933296,0.0002309933296,0.0002309933296,7.5206350365e-12,1.7347282959e-15,6.1133887588e-13,8.8654273684e-10,4.6179438135e-15,2.6254085055e-15,1.6422947657e-10,5.1324789932e-12,1.2935086775e-05,1.2935086775e-05,1.2935086775e-05,1.2935086775e-05,0.35131407584,0.35131407584,0.35131407584,0.35131407584,8.7000431064e-09,3.35716701e-07,3.35716701e-07,3.35716701e-07,3.35716701e-07,1.3550720496e-10,4.2301646499e-05,4.2301646499e-05,4.2301646499e-05,4.2301646499e-05
875,1.3194249289e-05,1.3194249289e-05,1.3194249289e-05,1.3194249289e-05,2.1647492911e-13,2.7907536249e-12,1.4056259617e-11,1.4056259617e-11,1.4056259617e-11,1.4056259617e-11,4.483825572e-14,9.669174173e-14,2.234421861e-15,8.1693871937e-13,3.8138489422e-12,3.1043618967e-07,3.1043618967e-07,3.1043618967e-07,3.1043618967e-07,2.234208296e-15,9.1899585931e-15,3.2037948618e-12,0.00022845737198,0.00022845737198,0.00022845737198,0.00022845737198,6.6111991622e-12,1.3959990855e-15,5.242057807e-13,8.1339641214e-10,3.7575832318e-15,2.1227264321e-15,1.4852630366e-10,4.4952013658e-12,1.2645131002e-05,1.2645131002e-05,1.2645131002e-05,1.2645131002e-05,0.35165783585,0.35165783585,0.35165783585,0.35165783585,8.1281931175e-09,3.2166678361e-07,3.2166678361e-07,3.2166678361e-07,3.2166678361e-07,1.2234436215e-10,4.1571201105e-05,4.1571201105e-05,4.1571201105e-05,4.1571201105e-05
880,1.2904830061e-05,1.2904830061e-05,1.2904830061e-05,1.2904830061e-05,1.8400889783e-13,2.4339503939e-12,1.2449924955e-11,1.2449924955e-11,1.2449924955e-11,1.2449924955e-11,3.7488579408e-14,8.1502998342e-14,1.8077574121e-15,7.0388019926e-13,3.3363540656e-12,2.974977188e-07,2.974977188e-07,2.974977188e-07,2.974977188e-07,1.8075827048e-15,7.5528891108e-15,2.7979468251e-12,0.00022599622137,0.00022599622137,0.00022599622137,0.00022599622137,5.814152777e-12,1.123453017e-15,4.4964236709e-13,7.466471618e-10,3.05781192e-15,1.7164000841e-15,1.3438816977e-10,3.9386473545e-12,1.2365561118e-05,1.2365561118e-05,1.2365561118e-05,1.2365561118e-05,0.35200446911,0.35200446911,0.35200446911,0.35200446911,7.5975744127e-09,3.0833498505e-07,3.0833498505e-07,3.0833498505e-07,3.0833498505e-07,1.1051215194e-10,4.0864472417e-05,4.0864472417e-05,4.0864472417e-05,4.0864472417e-05
885,1.262565692e-05,1.262565692e-05,1.262565692e-05,1.262565692e-05,1.5645890548e-13,2.1235941997e-12,1.1031926037e-11,1.1031926037e-11,1.1031926037e-11,1.1031926037e-11,3.1350823844e-14,6.8718394444e-14,1.4626615238e-15,6.0668089763e-13,2.9198079131e-12,2.8521793484e-07,2.8521793484e-07,2.8521793484e-07,2.8521793484e-07,1.4625186038e-15,6.208359978e-15,2.4444747888e-12,0.00022360726696,0.00022360726696,0.00022360726696,0.00022360726696,5.1153172183e-12,9.0415065928e-16,3.8581399898e-13,6.8570616639e-10,2.4886000598e-15,1.3879389986e-15,1.2165310563e-10,3.452395356e-12,1.2095924118e-05,1.2095924118e-05,1.2095924118e-05,1.2095924118e-05,0.35235388019,0.35235388019,0.35235388019,0.35235388019,7.1049799366e-09,2.9567934455e-07,2.9567934455e-07,2.9567934455e-07,2.9567934455e-07,9.9871075773e-11,4.0180518071e-05,4.0180518071e-05,4.0180518071e-05,4.0180518071e-05
890,1.235628777e-05,1.235628777e-05,1.235628777e-05,1.235628777e-05,1.3307356071e-13,1.8535336438e-12,9.7796423233e-12,9.7796423233e-12,9.7796423233e-12,9.7796423233e-12,2.6223974644e-14,5.7954541564e-14,1.1835216928e-15,5.2308692869e-13,2.5562860611e-12,2.7355849925e-07,2.7355849925e-07,2.7355849925e-07,2.7355849925e-07,1.1834047763e-15,5.1039317359e-15,2.136498327e-12,0.00022128800836,0.00022128800836,0.00022128800836,0.00022128800836,4.502338017e-12,7.2768395092e-16,3.3115688115e-13,6.300413414e-10,2.0255436433e-15,1.1224049558e-15,1.1017649497e-10,3.0273938964e-12,1.1835790041e-05,1.1835790041e-05,1.1835790041e-05,1.1835790041e-05,0.35270597752,0.35270597752,0.35270597752,0.35270597752,6.6474687957e-09,2.8366062474e-07,2.8366062474e-07,2.8366062474e-07,2.8366062474e-07,9.0296757952e-11,3.9518440109e-05,3.9518440109e-05,3.9518440109e-05,3.9518440109e-05
895,1.2096302789e-05,1.2096302789e-05,1.2096302789e-05,1.2096302789e-05,1.1321737315e-13,1.6184455953e-12,8.6732327892e-12,8.6732327892e-12,8.6732327892e-12,8.6732327892e-12,2.1940551672e-14,4.888963961e-14,9.5771722624e-16,4.5116880137e-13,2.2389127361e-12,2.6248355227e-07,2.6248355227e-07,2.6248355227e-07,2.6248355227e-07,9.5762158173e-16,4.196594091e-15,1.8680563804e-12,0.00021903605016,0.00021903605016,0.00021903605016,0.00021903605016,3.9644457615e-12,5.8568067243e-16,2.8433763149e-13,5.7917163918e-10,1.6488086047e-15,9.0772879041e-16,9.9829154855e-11,2.6557783379e-12,1.1584750653e-05,1.1584750653e-05,1.1584750653e-05,1.1584750653e-05,0.35306067323,0.35306067323,0.35306067323,0.35306067323,6.2223428759e-09,2.7224211884e-07,2.7224211884e-07,2.7224211884e-07,2.7224211884e-07,8.167825443e-11,3.8877382595e-05,3.8877382595e-05,3.8877382595e-05,3.8877382595e-05
900,1.1845303169e-05,1.1845303169e-05,1.1845303169e-05,1.1845303169e-05,9.6352715396e-14,1.4137218808e-12,7.6952869307e-12,7.6952869307e-12,7.6952869307e-12,7.6952869307e-12,1.8360982766e-14,4.1253511808e-14,7.7504524954e-16,3.8927415442e-13,1.9617196786e-12,2.5195953811e-07,2.5195953811e-07,2.5195953811e-07,2.5195953811e-07,7.7496700642e-16,3.4510652451e-15,1.6339823868e-12,0.00021684909682,0.00021684909682,0.00021684909682,0.00021684909682,3.4922488774e-12,4.7140598092e-16,2.4421895302e-13,5.3266194526e-10,1.3422734803e-15,7.3415874341e-16,9.0495634749e-11,2.3307125194e-12,1.1342418205e-05,1.1342418205e-05,1.1342418205e-05,1.1342418205e-05,0.353417883,0.353417883,0.353417883,0.353417883,5.8271256214e-09,2.613894725e-07,2.613894725e-07,2.613894725e-07,2.613894725e-07,7.3916556285e-11,3.8256529368e-05,3.8256529368e-05,3.8256529368e-05,3.8256529368e-05
905,1.1602909922e-05,1.1602909922e-05,1.1602909922e-05,1.1602909922e-05,8.2024617019e-14,1.2353717145e-12,6.8305205e-12,6.8305205e-12,6.8305205e-12,6.8305205e-12,1.5368926721e-14,3.4819263416e-14,6.2725696665e-16,3.3598746035e-13,1.7195243141e-12,2.4195504338e-07,2.4195504338e-07,2.4195504338e-07,2.4195504338e-07,6.2719295864e-16,2.8383988977e-15,1.4297966403e-12,0.00021472494784,0.00021472494784,0.00021472494784,0.00021472494784,3.0775539898e-12,3.7944198333e-16,2.0983047573e-13,4.9011850494e-10,1.0928332018e-15,5.938150001e-16,8.2072708783e-11,2.0462518827e-12,1.110842427e-05,1.110842427e-05,1.110842427e-05,1.110842427e-05,0.35377752591,0.35377752591,0.35377752591,0.35377752591,5.459542766e-09,2.5107051926e-07,2.5107051926e-07,2.5107051926e-07,2.5107051926e-07,6.6923264877e-11,3.7655101928e-05,3.7655101928e-05,3.7655101928e-05,3.7655101928e-05
910,1.1368762767e-05,1.1368762767e-05,1.1368762767e-05,1.1368762767e-05,6.9847941984e-14,1.0799376497e-12,6.0655101231e-12,6.0655101231e-12,6.0655101231e-12,6.0655101231e-12,1.2867384497e-14,2.9396297784e-14,5.0768297009e-16,2.9009565905e-13,1.5078245469e-12,2.3244064773e-07,2.3244064773e-07,2.3244064773e-07,2.3244064773e-07,5.0763060706e-16,2.3348430901e-15,1.2516134644e-12,0.00021266149317,0.00021266149317,0.00021266149317,0.00021266149317,2.7132101325e-12,3.0543005489e-16,1.8034398142e-13,4.5118482293e-10,8.8983368294e-16,4.8032995177e-16,7.4468038611e-11,1.7972251246e-12,1.0882418658e-05,1.0882418658e-05,1.0882418658e-05,1.0882418658e-05,0.35413952433,0.35413952433,0.35413952433,0.35413952433,5.1175048276e-09,2.4125512832e-07,2.4125512832e-07,2.4125512832e-07,2.4125512832e-07,6.0619418422e-11,3.7072357455e-05,3.7072357455e-05,3.7072357455e-05,3.7072357455e-05
915,1.1142519088e-05,1.1142519088e-05,1.1142519088e-05,1.1142519088e-05,5.9496572811e-14,9.4442314938e-13,5.388461733e-12,5.388461733e-12,5.388461733e-12,5.388461733e-12,1.0775465073e-14,2.4824467344e-14,4.1093048119e-16,2.5055883818e-13,1.322707874e-12,2.2338878574e-07,2.2338878574e-07,2.2338878574e-07,2.2338878574e-07,4.1088764432e-16,1.9209052227e-15,1.0960611322e-12,0.00021065670889,0.00021065670889,0.00021065670889,0.00021065670889,2.3929735835e-12,2.458636085e-16,1.5505234568e-13,4.1553798553e-10,7.2461258468e-16,3.8855766647e-16,6.759898702e-11,1.5791318238e-12,1.0664068392e-05,1.0664068392e-05,1.0664068392e-05,1.0664068392e-05,0.35450380375,0.35450380375,0.35450380375,0.35450380375,4.799091198e-09,2.3191506377e-07,2.3191506377e-07,2.3191506377e-07,2.3191506377e-07,5.4934452213e-11,3.6507586933e-05,3.6507586933e-05,3.6507586933e-05,3.6507586933e-05
920,1.0923852951e-05,1.0923852951e-05,1.0923852951e-05,1.0923852951e-05,5.0694284656e-14,8.2623014617e-13,4.7890084247e-12,4.7890084247e-12,4.7890084247e-12,4.7890084247e-12,9.0256951269e-15,2.0969173814e-14,3.326386957e-16,2.1648521057e-13,1.1607728386e-12,2.1477361913e-07,2.1477361913e-07,2.1477361913e-07,2.1477361913e-07,3.3260365171e-16,1.5805858839e-15,9.6021275275e-13,0.00020870865313,0.00020870865313,0.00020870865313,0.00020870865313,2.1113905476e-12,1.9792143124e-16,1.3335163349e-13,3.8288536011e-10,5.9012628214e-16,3.1433923913e-16,6.1391564792e-11,1.3880538535e-12,1.0453056754e-05,1.0453056754e-05,1.0453056754e-05,1.0453056754e-05,0.35487029266,0.35487029266,0.35487029266,0.35487029266,4.5025356755e-09,2.2302385432e-07,2.2302385432e-07,2.2302385432e-07,2.2302385432e-07,4.9805276836e-11,3.5960113395e-05,3.5960113395e-05,3.5960113395e-05,3.5960113395e-05
925,1.0712454186e-05,1.0712454186e-05,1.0712454186e-05,1.0712454186e-05,4.3207042998e-14,7.2310519325e-13,4.2580339165e-12,4.2580339165e-12,4.2580339165e-12,4.2580339165e-12,7.5617805881e-15,1.771726249e-14,2.6928107025e-16,1.8710975151e-13,1.0190611211e-12,2.0657091841e-07,2.0657091841e-07,2.0657091841e-07,2.0657091841e-07,2.6925240124e-16,1.3007509187e-15,8.4152660161e-13,0.00020681546217,0.00020681546217,0.00020681546217,0.00020681546217,1.8636952892e-12,1.5933364156e-16,1.1472587096e-13,3.529616318e-10,4.8064682441e-16,2.5431326138e-16,5.5779495437e-11,1.2205786908e-12,1.0249082386e-05,1.0249082386e-05,1.0249082386e-05,1.0249082386e-05,0.35523892245,0.35523892245,0.35523892245,0.35523892245,4.2262133021e-09,2.145566727e-07,2.145566727e-07,2.145566727e-07,2.145566727e-07,4.5175460609e-11,3.5429290261e-05,3.5429290261e-05,3.5429290261e-05,3.5429290261e-05
930,1.0508027523e-05,1.0508027523e-05,1.0508027523e-05,1.0508027523e-05,3.6836500943e-14,6.3309300607e-13,3.7875183116e-12,3.7875183116e-12,3.7875183116e-12,3.7875183116e-12,6.3367437444e-15,1.4973581032e-14,2.1800553272e-16,1.6177595439e-13,8.9499880362e-13,1.9875795339e-07,1.9875795339e-07,1.9875795339e-07,1.9875795339e-07,2.1798207882e-16,1.0706167187e-15,7.3779458363e-13,0.00020497534678,0.00020497534678,0.00020497534678,0.00020497534678,1.6457216436e-12,1.2827387858e-16,9.8734089214e-14,3.2552614172e-10,3.9151573004e-16,2.057627258e-16,5.0703384215e-11,1.0737330005e-12,1.0051858443e-05,1.0051858443e-05,1.0051858443e-05,1.0051858443e-05,0.35560962727,0.35560962727,0.35560962727,0.35560962727,3.9686283843e-09,2.0649022396e-07,2.0649022396e-07,2.0649022396e-07,2.0649022396e-07,4.0994504141e-11,3.4914499779e-05,3.4914499779e-05,3.4914499779e-05,3.4914499779e-05
935,1.0310291782e-05,1.0310291782e-05,1.0310291782e-05,1.0310291782e-05,3.1414507674e-14,5.5449636552e-13,3.3704032847e-12,3.3704032847e-12,3.3704032847e-12,3.3704032847e-12,5.311372538e-15,1.2658094442e-14,1.7650533378e-16,1.3992024402e-13,7.8634555054e-13,1.9131339163e-07,1.9131339163e-07,1.9131339163e-07,1.9131339163e-07,1.7648614617e-16,8.8132825732e-16,6.4709770295e-13,0.00020318658878,0.00020318658878,0.00020318658878,0.00020318658878,1.4538261195e-12,1.0327258645e-16,8.4999297479e-14,3.0036049494e-10,3.1894393929e-16,1.6649135261e-16,4.6109979478e-11,9.4492509373e-13,9.8611118063e-06,9.8611118063e-06,9.8611118063e-06,9.8611118063e-06,0.35598234393,0.35598234393,0.35598234393,0.35598234393,3.7284035829e-09,1.9880264194e-07,1.9880264194e-07,1.9880264194e-07,1.9880264194e-07,3.7217196327e-11,3.4415151549e-05,3.4415151549e-05,3.4415151549e-05,3.4415151549e-05
940,1.0118979107e-05,1.0118979107e-05,1.0118979107e-05,1.0118979107e-05,2.6798469468e-14,4.8584149824e-13,3.0004741987e-12,3.0004741987e-12,3.0004741987e-12,3.0004741987e-12,4.4529294448e-15,1.0703465705e-14,1.4291465698e-16,1.2105865602e-13,6.9115061892e-13,1.8421720436e-07,1.8421720436e-07,1.8421720436e-07,1.8421720436e-07,1.4289895946e-16,7.256131077e-16,5.6776757268e-13,0.00020144753773,0.00020144753773,0.00020144753773,0.00020144753773,1.2848210464e-12,8.314726377e-17,7.3199095285e-14,2.7726640975e-10,2.5984925424e-16,1.3472367827e-16,4.1951515785e-11,8.3189505486e-13,9.6765823358e-06,9.6765823358e-06,9.6765823358e-06,9.6765823358e-06,0.35635701179,0.35635701179,0.35635701179,0.35635701179,3.5042699748e-09,1.9147339332e-07,1.9147339332e-07,1.9147339332e-07,1.9147339332e-07,3.380304238e-11,3.3930681137e-05,3.3930681137e-05,3.3930681137e-05,3.3930681137e-05
945,9.9338342565e-06,9.9338342565e-06,9.9338342565e-06,9.9338342565e-06,2.2867429739e-14,4.2584817443e-13,2.6722569809e-12,2.6722569809e-12,2.6722569809e-12,2.6722569809e-12,3.7340762374e-15,9.0530264113e-15,1.1572423541e-16,1.0477544891e-13,6.0771476798e-13,1.7745057928e-07,1.7745057928e-07,1.7745057928e-07,1.7745057928e-07,1.1571139304e-16,5.9749771875e-16,4.9835313228e-13,0.00019975660777,0.00019975660777,0.00019975660777,0.00019975660777,1.1359164334e-12,6.69463568e-17,6.3057677371e-14,2.560637831e-10,2.1172422913e-16,1.0902433519e-16,3.8185129464e-11,7.3267149971e-13,9.4980221715e-06,9.4980221715e-06,9.4980221715e-06,9.4980221715e-06,0.35673357265,0.35673357265,0.35673357265,0.35673357265,3.2950579939e-09,1.8448318863e-07,1.8448318863e-07,1.8448318863e-07,1.8448318863e-07,3.0715755624e-11,3.3460548766e-05,3.3460548766e-05,3.3460548766e-05,3.3460548766e-05
950,9.7546139217e-06,9.7546139217e-06,9.7546139217e-06,9.7546139217e-06,1.9518755721e-14,3.7340387078e-13,2.3809278752e-12,2.3809278752e-12,2.3809278752e-12,2.3809278752e-12,3.1319783334e-15,7.6590740353e-15,9.3713136217e-17,9.0713365082e-14,5.3455726264e-13,1.7099583957e-07,1.7099583957e-07,1.7099583957e-07,1.7099583957e-07,9.3702629582e-17,4.9207471311e-16,4.3759185711e-13,0.00019811227476,0.00019811227476,0.00019811227476,0.00019811227476,1.0046693817e-12,5.3904126061e-17,5.4339022506e-14,2.3658894967e-10,1.7252879652e-16,8.8232832425e-17,3.4772338397e-11,6.4553406704e-13,9.325195076e-06,9.325195076e-06,9.325195076e-06,9.325195076e-06,0.35711197067,0.35711197067,0.35711197067,0.35711197067,3.0996891703e-09,1.7781389969e-07,1.7781389969e-07,1.7781389969e-07,1.7781389969e-07,2.7922805716e-11,3.3004238078e-05,3.3004238078e-05,3.3004238078e-05,3.3004238078e-05
955,9.5810860985e-06,9.5810860985e-06,9.5810860985e-06,9.5810860985e-06,1.6665337058e-14,3.275414372e-13,2.1222344281e-12,2.1222344281e-12,2.1222344281e-12,2.1222344281e-12,2.6275585657e-15,6.4814429427e-15,7.5893611511e-17,7.8565299181e-14,4.703872795e-13,1.6483636884e-07,1.6483636884e-07,1.6483636884e-07,1.6483636884e-07,7.58850157e-17,4.0531200328e-16,3.8438484417e-13,0.0001965130734,0.0001965130734,0.0001965130734,0.0001965130734,8.8894005318e-13,4.3404338708e-17,4.6841089021e-14,2.1869311439e-10,1.4060298951e-16,7.1410857181e-17,3.1678578773e-11,5.6898087133e-13,9.157875816e-06,9.157875816e-06,9.157875816e-06,9.157875816e-06,0.35749215225,0.35749215225,0.35749215225,0.35749215225,2.9171685942e-09,1.7144848292e-07,1.7144848292e-07,1.7144848292e-07,1.7144848292e-07,2.5395016873e-11,3.2561254968e-05,3.2561254968e-05,3.2561254968e-05,3.2561254968e-05
960,9.4130294888e-06,9.4130294888e-06,9.4130294888e-06,9.4130294888e-06,1.4233216535e-14,2.8741978512e-13,1.8924262821e-12,1.8924262821e-12,1.8924262821e-12,1.8924262821e-12,2.2048753063e-15,5.4863047913e-15,6.1466509976e-17,6.8067167994e-14,4.1407911791e-13,1.5895654134e-07,1.5895654134e-07,1.5895654134e-07,1.5895654134e-07,6.1459477392e-17,3.3389618815e-16,3.3777524425e-13,0.00019495759458,0.00019495759458,0.00019495759458,0.00019495759458,7.8685332998e-13,3.4951059798e-17,4.0390866641e-14,2.0224094052e-10,1.1459599195e-16,5.7799690812e-17,2.8872792369e-11,5.017002493e-13,8.9958495803e-06,8.9958495803e-06,8.9958495803e-06,8.9958495803e-06,0.35787406596,0.35787406596,0.35787406596,0.35787406596,2.7465780372e-09,1.6537090823e-07,1.6537090823e-07,1.6537090823e-07,1.6537090823e-07,2.3106210395e-11,3.2131126484e-05,3.2131126484e-05,3.2131126484e-05,3.2131126484e-05
965,9.2502329397e-06,9.2502329397e-06,9.2502329397e-06,9.2502329397e-06,1.21595857e-14,2.5230718211e-13,1.6881945347e-12,1.6881945347e-12,1.6881945347e-12,1.6881945347e-12,1.8506041041e-15,4.6451612495e-15,4.9785224446e-17,5.8991806552e-14,3.6465070182e-13,1.5334165718e-07,1.5334165718e-07,1.5334165718e-07,1.5334165718e-07,4.9779470732e-17,2.7510405468e-16,2.9692958359e-13,0.00019344448292,0.00019344448292,0.00019344448292,0.00019344448292,6.9676541605e-13,2.8145153565e-17,3.4840156929e-14,1.8710927736e-10,9.340845647e-17,4.6785795813e-17,2.6327058698e-11,4.4254622437e-13,8.8389114319e-06,8.8389114319e-06,8.8389114319e-06,8.8389114319e-06,0.35825766244,0.35825766244,0.35825766244,0.35825766244,2.5870696716e-09,1.5956609284e-07,1.5956609284e-07,1.5956609284e-07,1.5956609284e-07,2.103288647e-11,3.1713399785e-05,3.1713399785e-05,3.1713399785e-05,3.1713399785e-05
970,9.0924949142e-06,9.0924949142e-06,9.0924949142e-06,9.0924949142e-06,1.0391088681e-14,2.2156679586e-13,1.50661858e-12,1.50661858e-12,1.50661858e-12,1.50661858e-12,1.5536055102e-15,3.9339979782e-15,4.0326539449e-17,5.1143740956e-14,3.2124492827e-13,1.4797788218e-07,1.4797788218e-07,1.4797788218e-07,1.4797788218e-07,4.0321831987e-17,2.266971255e-16,2.6112158215e-13,0.00019197243429,0.00019197243429,0.00019197243429,0.00019197243429,6.1723473225e-13,2.2665377765e-17,3.0061973879e-14,1.7318601311e-10,7.6145604577e-17,3.7873004241e-17,2.4016266994e-11,3.9051719151e-13,8.6868657921e-06,8.6868657921e-06,8.6868657921e-06,8.6868657921e-06,0.35864289433,0.35864289433,0.35864289433,0.35864289433,2.4378603322e-09,1.5401983987e-07,1.5401983987e-07,1.5401983987e-07,1.5401983987e-07,1.9153940805e-11,3.1307641158e-05,3.1307641158e-05,3.1307641158e-05,3.1307641158e-05
975,8.9396229936e-06,8.9396229936e-06,8.9396229936e-06,8.9396229936e-06,8.8823863999e-15,1.9464417978e-13,1.3451194912e-12,1.3451194912e-12,1.3451194912e-12,1.3451194912e-12,1.304564677e-15,3.3325738746e-15,3.2667056595e-17,4.4354710499e-14,2.8311347944e-13,1.4285219187e-07,1.4285219187e-07,1.4285219187e-07,1.4285219187e-07,3.2663205084e-17,1.8683510647e-16,2.2971812916e-13,0.0001905401936,0.0001905401936,0.0001905401936,0.0001905401936,5.4699654301e-13,1.8253172769e-17,2.594747253e-14,1.603690402e-10,6.2079089888e-17,3.0660039797e-17,2.1917823595e-11,3.4473739262e-13,8.5395259547e-06,8.5395259547e-06,8.5395259547e-06,8.5395259547e-06,0.35902971617,0.35902971617,0.35902971617,0.35902971617,2.2982262722e-09,1.4871878118e-07,1.4871878118e-07,1.4871878118e-07,1.4871878118e-07,1.7450412178e-11,3.091343509e-05,3.091343509e-05,3.091343509e-05,3.091343509e-05
980,8.7914334081e-06,8.7914334081e-06,8.7914334081e-06,8.7914334081e-06,7.5949408421e-15,1.7105643549e-13,1.2014191225e-12,1.2014191225e-12,1.2014191225e-12,1.2014191225e-12,1.0956907467e-15,2.8238237989e-15,2.6464129317e-17,3.8479830371e-14,2.4960276754e-13,1.3795231946e-07,1.3795231946e-07,1.3795231946e-07,1.3795231946e-07,2.646097808e-17,1.5400483644e-16,2.021671241e-13,0.00018914655264,0.00018914655264,0.00018914655264,0.00018914655264,4.8494082744e-13,1.4700422877e-17,2.2403327296e-14,1.4856532168e-10,5.0615984009e-17,2.4822349551e-17,2.0011390777e-11,3.0444081097e-13,8.3967136283e-06,8.3967136283e-06,8.3967136283e-06,8.3967136283e-06,0.35941808435,0.35941808435,0.35941808435,0.35941808435,2.1674983682e-09,1.4365032423e-07,1.4365032423e-07,1.4365032423e-07,1.4365032423e-07,1.5905257428e-11,3.0530383387e-05,3.0530383387e-05,3.0530383387e-05,3.0530383387e-05
985,8.6477505936e-06,8.6477505936e-06,8.6477505936e-06,8.6477505936e-06,6.4959853692e-15,1.5038282402e-13,1.0735042137e-12,1.0735042137e-12,1.0735042137e-12,1.0735042137e-12,9.2046605103e-16,2.3933565329e-15,2.1440443412e-17,3.3394302207e-14,2.2014172691e-13,1.3326670742e-07,1.3326670742e-07,1.3326670742e-07,1.3326670742e-07,2.143786509e-17,1.2696195412e-16,1.7798693079e-13,0.00018779034798,0.00018779034798,0.00018779034798,0.00018779034798,4.3009297253e-13,1.1839608722e-17,1.934949344e-14,1.3769004827e-10,4.1273552427e-17,2.0097418118e-17,1.8278653582e-11,2.689571634e-13,8.2582585043e-06,8.2582585043e-06,8.2582585043e-06,8.2582585043e-06,0.359807957,0.359807957,0.359807957,0.359807957,2.0450577339e-09,1.3880260263e-07,1.3880260263e-07,1.3880260263e-07,1.3880260263e-07,1.4503150808e-11,3.0158104345e-05,3.0158104345e-05,3.0158104345e-05,3.0158104345e-05
990,8.5084067753e-06,8.5084067753e-06,8.5084067753e-06,8.5084067753e-06,5.5576523423e-15,1.3225662905e-13,9.5959487264e-13,9.5959487264e-13,9.5959487264e-13,9.5959487264e-13,7.7343682429e-16,2.0290326804e-15,1.7371545382e-17,2.899059332e-14,1.9423120643e-13,1.2878446238e-07,1.2878446238e-07,1.2878446238e-07,1.2878446238e-07,1.7369435784e-17,1.0468299898e-16,1.5675722728e-13,0.00018647045907,0.00018647045907,0.00018647045907,0.00018647045907,3.8159692179e-13,9.5358833092e-18,1.6717295084e-14,1.2766587709e-10,3.365873749e-17,1.6272896021e-17,1.6703111518e-11,2.3769971242e-13,8.1239978505e-06,8.1239978505e-06,8.1239978505e-06,8.1239978505e-06,0.36019929396,0.36019929396,0.36019929396,0.36019929396,1.9303317056e-09,1.3416443009e-07,1.3416443009e-07,1.3416443009e-07,1.3416443009e-07,1.3230305e-11,2.9796231962e-05,2.9796231962e-05,2.9796231962e-05,2.9796231962e-05
