Time,CYP3A4_1A_n1_SOC_N,CYP3A4_1A_n2_SOC_N,CYP3A4_1A_n3_SOC_N,CYP3A4_1A_n4_SOC_N,CYP3A4_2_n1_SOC_N,CYP3A4_3_n1_SOC_N,CYP3A4_4_n1_SOC_N,CYP3A4_4_n2_SOC_N,CYP3A4_4_n3_SOC_N,CYP3A4_4_n4_SOC_N,CYP3A4_5_n1_SOC_N,CYP3A4_7_n1_SOC_N,CYP3A4_8_n1_SOC_N,CYP3A4_9_n1_SOC_N,CYP3A4_10_n1_SOC_N,CYP3A4_11_n1_SOC_N,CYP3A4_11_n2_SOC_N,CYP3A4_11_n3_SOC_N,CYP3A4_11_n4_SOC_N,CYP3A4_12_n1_SOC_N,CYP3A4_13_n1_SOC_N,CYP3A4_14_n1_SOC_N,CYP3A4_15_n1_SOC_N,CYP3A4_15_n2_SOC_N,CYP3A4_15_n3_SOC_N,CYP3A4_15_n4_SOC_N,CYP3A4_16_n1_SOC_N,CYP3A4_17_n1_SOC_N,CYP3A4_18_n1_SOC_N,CYP3A4_19_n1_SOC_N,CYP3A4_20_n1_SOC_N,CYP3A4_21_n1_SOC_N,CYP3A4_23_n1_SOC_N,CYP3A4_24_n1_SOC_N,CYP3A4_28_n1_SOC_N,CYP3A4_28_n2_SOC_N,CYP3A4_28_n3_SOC_N,CYP3A4_28_n4_SOC_N,CYP3A4_29_n1_SOC_N,CYP3A4_29_n2_SOC_N,CYP3A4_29_n3_SOC_N,CYP3A4_29_n4_SOC_N,CYP3A4_31_n1_SOC_N,CYP3A4_32_n1_SOC_N,CYP3A4_32_n2_SOC_N,CYP3A4_32_n3_SOC_N,CYP3A4_32_n4_SOC_N,CYP3A4_33_n1_SOC_N,CYP3A4_34_n1_SOC_N,CYP3A4_34_n2_SOC_N,CYP3A4_34_n3_SOC_N,CYP3A4_34_n4_SOC_N
50,9.8444817309,9.8444817309,9.8444817309,9.8444817309,8.7187619087,8.8188317855,8.8880842847,8.8880842847,8.8880842847,8.8880842847,8.6619885535,8.6892650102,8.5624289399,8.7694214858,8.8318034293,9.4833526275,9.4833526275,9.4833526275,9.4833526275,8.5624258701,8.608075711,8.8245307825,10.232711419,10.232711419,10.232711419,10.232711419,8.8550823219,8.547717095,8.7521810531,9.087722401,8.5789549743,8.5608139409,8.9988891438,8.8387100291,9.838771904,9.838771904,9.838771904,9.838771904,12.833705616,12.833705616,12.833705616,12.833705616,9.2223320248,9.4857164668,9.4857164668,9.4857164668,9.4857164668,8.9891467914,9.9844343793,9.9844343793,9.9844343793,9.9844343793
55,8.0941910459,8.0941910459,8.0941910459,8.0941910459,7.0007637377,7.0971666136,7.1639767539,7.1639767539,7.1639767539,7.1639767539,6.9461445251,6.9723794056,6.8504928407,7.0495463954,7.109674993,7.7413473752,7.7413473752,7.7413473752,7.7413473752,6.8504898943,6.8943271413,7.1026618206,8.4755084571,8.4755084571,8.4755084571,8.4755084571,7.1321294376,6.8363726901,7.0329400526,7.3570047907,6.8663586038,6.8489426153,7.2710353407,7.1163359952,8.0886072235,8.0886072235,8.0886072235,8.0886072235,11.075445975,11.075445975,11.075445975,11.075445975,7.4875114606,7.7436559219,7.7436559219,7.7436559219,7.7436559219,7.2616154762,8.2314270112,8.2314270112,8.2314270112,8.2314270112
60,6.671013879,6.671013879,6.671013879,6.671013879,5.6235088614,5.7150172878,5.7785367345,5.7785367345,5.7785367345,5.7785367345,5.5717408153,5.5965991799,5.4812202234,5.6697930032,5.7269034151,6.3307749757,6.3307749757,6.3307749757,6.3307749757,5.4812174381,5.5226811392,5.7202388426,7.040854442,7.040854442,7.040854442,7.040854442,5.7482481682,5.4678725784,5.6540322379,5.9625153979,5.4962226236,5.4797546196,5.8804938319,5.7332341873,6.6656231516,6.6656231516,6.6656231516,6.6656231516,9.6118667198,9.6118667198,9.6118667198,9.6118667198,6.0872807798,6.3329993382,6.3329993382,6.3329993382,6.3329993382,5.871515397,6.8038770956,6.8038770956,6.8038770956,6.8038770956
65,5.5110781049,5.5110781049,5.5110781049,5.5110781049,4.5189790094,4.604770229,4.6644262434,4.6644262434,4.6644262434,4.6644262434,4.4705260874,4.4937852869,4.3859448456,4.5623488751,4.6159270106,5.1865250656,5.1865250656,5.1865250656,5.1865250656,4.3859422462,4.4246626797,4.6096710827,5.8661242767,5.8661242767,5.8661242767,5.8661242767,4.6359696368,4.3734885279,4.5475753459,4.8376908396,4.3999502147,4.3845769151,4.7603601292,4.6218705003,5.5059283616,5.5059283616,5.5059283616,5.5059283616,8.3869862321,8.3869862321,8.3869862321,8.3869862321,4.9555827819,5.1886445931,5.1886445931,5.1886445931,5.1886445931,4.7519042883,5.6383714805,5.6383714805,5.6383714805,5.6383714805
70,4.5634811603,4.5634811603,4.5634811603,4.5634811603,3.6328200211,3.7124065869,3.7678549983,3.7678549983,3.7678549983,3.7678549983,3.5879532565,3.6094835755,3.5097765209,3.6730303483,3.7227699559,4.256660819,4.256660819,4.256660819,4.256660819,3.5097741215,3.5455396462,3.7169586052,4.9014591139,4.9014591139,4.9014591139,4.9014591139,3.7413949848,3.4982791298,3.6593278626,3.9293841887,3.5227085688,3.508513699,3.857203837,3.7282919793,4.558604304,4.558604304,4.558604304,4.558604304,7.3565240595,7.3565240595,7.3565240595,7.3565240595,4.0396916653,4.2586617768,4.2586617768,4.2586617768,4.2586617768,3.8493203841,4.6843915765,4.6843915765,4.6843915765,4.6843915765
75,3.7875614757,3.7875614757,3.7875614757,3.7875614757,2.9215795569,2.9947430315,3.0458233292,3.0458233292,3.0458233292,3.0458233292,2.8804154417,2.9001615881,2.8088339645,2.9585218051,3.0042834773,3.4996797513,3.4996797513,3.4996797513,3.4996797513,2.8088317705,2.8415571034,2.9989332711,4.1070491606,4.1070491606,4.1070491606,4.1070491606,3.0214372736,2.7983221814,2.9459277654,3.1951139396,2.8206622505,2.8076791994,3.1283149312,3.0093682209,3.7829764446,3.7829764446,3.7829764446,3.7829764446,6.4852587852,6.4852587852,6.4852587852,6.4852587852,3.2974660309,3.5015540505,3.5015540505,3.5015540505,3.5015540505,3.1210283982,3.9015888741,3.9015888741,3.9015888741,3.9015888741
80,3.150762879,3.150762879,3.150762879,3.150762879,2.3505067371,2.4172377558,2.4639325035,2.4639325035,2.4639325035,2.4639325035,2.3130419293,2.3310062949,2.2480341914,2.3841785509,2.4259526682,2.8823588104,2.8823588104,2.8823588104,2.8823588104,2.248032202,2.2777297256,2.4210650979,3.451017693,3.451017693,3.451017693,3.451017693,2.4416297561,2.2385031019,2.3726943023,2.6008864422,2.2587636971,2.2469869658,2.5395208657,2.4305986217,3.1464783488,3.1464783488,3.1464783488,3.1464783488,5.74502248,5.74502248,5.74502248,5.74502248,2.6951792046,2.884102855,2.884102855,2.884102855,2.884102855,2.5328360375,3.2576565272,3.2576565272,3.2576565272,3.2576565272
85,2.6269591875,2.6269591875,2.6269591875,2.6269591875,1.8917986721,1.9522448421,1.9946443976,1.9946443976,1.9946443976,1.9946443976,1.8579401613,1.874168274,1.7993263675,1.9222773373,1.9601518557,2.378056099,2.378056099,2.378056099,2.378056099,1.7993245766,1.826079406,1.9557170663,2.907768479,2.907768479,2.907768479,2.907768479,1.9743830313,1.7907475609,1.9118771626,2.119470347,1.8089884354,1.798383586,2.0634545334,1.9643682778,2.6229759066,2.6229759066,2.6229759066,2.6229759066,5.1131695431,5.1131695431,5.1131695431,5.1131695431,2.2058032389,2.3796697775,2.3796697775,2.3796697775,2.3796697775,2.057361242,2.7266623559,2.7266623559,2.7266623559,2.7266623559
90,2.1951367799,2.1951367799,2.1951367799,2.1951367799,1.5232025501,1.5776245275,1.6158972842,1.6158972842,1.6158972842,1.6158972842,1.4927930762,1.5073613418,1.4402806277,1.5506226199,1.5847559089,1.9653700994,1.9653700994,1.9653700994,1.9653700994,1.440279026,1.4642280147,1.5807558436,2.4566914336,2.4566914336,2.4566914336,2.4566914336,1.5975982125,1.4326090154,1.5412613216,1.7290277278,1.4489253329,1.4394373644,1.678178669,1.5885598457,2.1914495354,2.1914495354,2.1914495354,2.1914495354,4.5714011388,4.5714011388,4.5714011388,4.5714011388,1.807649913,1.9668559271,1.9668559271,1.9668559271,1.9668559271,1.6726558379,2.2877399516,2.2877399516,2.2877399516,2.2877399516
95,1.8383562873,1.8383562873,1.8383562873,1.8383562873,1.2269007344,1.2756361425,1.3100040621,1.3100040621,1.3100040621,1.3100040621,1.1997396487,1.2127452929,1.1529604254,1.2514356547,1.2820341767,1.6270792916,1.6270792916,1.6270792916,1.6270792916,1.1529590012,1.1742735349,1.2784451619,2.0811459954,2.0811459954,2.0811459954,2.0811459954,1.2935626493,1.1461398268,1.2430547837,1.4120269674,1.1606503245,1.1522105355,1.3660923164,1.2854480109,1.8349555258,1.8349555258,1.8349555258,1.8349555258,4.104857713,4.104857713,4.104857713,4.104857713,1.4832930366,1.6284416979,1.6284416979,1.6284416979,1.6284416979,1.361111291,1.9240584039,1.9240584039,1.9240584039,1.9240584039
