Time,C_B_target,CYP3A4_1A_n1_SOC,CYP3A4_1A_n2_SOC,CYP3A4_1A_n3_SOC,CYP3A4_1A_n4_SOC,CYP3A4_2_n1_SOC,CYP3A4_3_n1_SOC,CYP3A4_4_n1_SOC,CYP3A4_5_n1_SOC,CYP3A4_7_n1_SOC,CYP3A4_8_n1_SOC,CYP3A4_9_n1_SOC,CYP3A4_10_n1_SOC,CYP3A4_11_n1_SOC,CYP3A4_12_n1_SOC,CYP3A4_13_n1_SOC,CYP3A4_14_n1_SOC,CYP3A4_15_n1_SOC,CYP3A4_15_n3_SOC,CYP3A4_15_n4_SOC,CYP3A4_16_n1_SOC,CYP3A4_17_n1_SOC,CYP3A4_18_n1_SOC,CYP3A4_19_n1_SOC,CYP3A4_20_n1_SOC,CYP3A4_21_n1_SOC,CYP3A4_23_n1_SOC,CYP3A4_24_n1_SOC,CYP3A4_28_n1_SOC,CYP3A4_29_n1_SOC,CYP3A4_29_n2_SOC,CYP3A4_29_n3_SOC,CYP3A4_29_n4_SOC,CYP3A4_31_n1_SOC,CYP3A4_32_n1_SOC,CYP3A4_33_n1_SOC,CYP3A4_34_n1_SOC,CYP3A4_34_n3_SOC,CYP3A4_34_n4_SOC
0.0,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504
5.0,0.49727701733,0.49727701733,0.49727701733,0.49727701733,0.49727701733,0.50299892795,0.50247379289,0.50211237643,0.50329842019,0.50315439196,0.50382638985,0.50273265002,0.50240597834,0.49906998749,0.5038264062,0.50358388102,0.50244399587,0.49538886295,0.49538886295,0.49538886295,0.50228442601,0.50390471111,0.50282317349,0.5010795406,0.50373850424,0.50383498375,0.5015375219,0.50236989208,0.49730551792,0.48359905341,0.48359905341,0.48359905341,0.48359905341,0.50039052962,0.49905836907,0.50158794757,0.49659215042,0.49659215042,0.49659215042
10.0,0.49064338652,0.49064338652,0.49064338652,0.49064338652,0.49064338652,0.50199984391,0.50095220194,0.50023181801,0.50259781653,0.50231020121,0.50365283949,0.50146848362,0.50081699073,0.49418816782,0.50365287217,0.50316810526,0.50089278796,0.48692432073,0.48692432073,0.48692432073,0.50057467953,0.50380944023,0.50164909114,0.49817597415,0.50347714412,0.50367002152,0.49908705021,0.50074504891,0.49069948474,0.4640202005,0.4640202005,0.4640202005,0.4640202005,0.49680682341,0.49416507528,0.49918740029,0.48929265461,0.48929265461,0.48929265461
15.0,0.4840979287,0.4840979287,0.4840979287,0.4840979287,0.4840979287,0.50100274393,0.49943521323,0.49835829833,0.50189818767,0.50146742539,0.50347934889,0.50020749283,0.49923302132,0.4893540705,0.5034793979,0.50275267243,0.49934636155,0.47860389568,0.47860389568,0.47860389568,0.49887074087,0.50371418736,0.50047774656,0.49528920329,0.50321591956,0.50350511329,0.49664852666,0.49912545352,0.48418074426,0.44523060562,0.44523060562,0.44523060562,0.44523060562,0.4932486987,0.48931964804,0.49679830366,0.48209994302,0.48209994302,0.48209994302
20.0,0.47763948032,0.47763948032,0.47763948032,0.47763948032,0.47763948032,0.50000762407,0.49792281286,0.49649179107,0.50119953226,0.50062606213,0.50330591805,0.49894966969,0.49765405431,0.48456722961,0.50330598336,0.50233758225,0.49780470193,0.47042515139,0.47042515139,0.47042515139,0.49717259036,0.5036189525,0.4993091334,0.4924191312,0.5029548305,0.50334025904,0.49422189321,0.49751108902,0.47774815505,0.42719872158,0.42719872158,0.42719872158,0.42719872158,0.48971597408,0.48452162132,0.49442060341,0.47501246838,0.47501246838,0.47501246838
25.0,0.47126689294,0.47126689294,0.47126689294,0.47126689294,0.47126689294,0.4990144804,0.496414987,0.49463227002,0.50050184893,0.49978610907,0.50313254694,0.49769500624,0.49608007393,0.47982718379,0.50313262853,0.50192283443,0.49626779446,0.46238569209,0.46238569209,0.46238569209,0.49548020844,0.50352373563,0.49814324529,0.48956566162,0.50269387687,0.50317545875,0.49180709213,0.49590193856,0.47140059029,0.40989424092,0.40989424092,0.40989424092,0.40989424092,0.4862084694,0.47977053356,0.49205424554,0.46802870543,0.46802870543,0.46802870543
30.0,0.46497903311,0.46497903311,0.46497903311,0.46497903311,0.46497903311,0.49802330901,0.49491172184,0.49277970908,0.49980513635,0.49894756384,0.50295923554,0.49644349458,0.4945110645,0.47513347614,0.5029593334,0.5015084287,0.49473562455,0.45448316193,0.45448316193,0.45448316193,0.49379357557,0.50342853677,0.49698007591,0.48672869885,0.5024330586,0.50301071241,0.48940406596,0.49429798535,0.46513693759,0.39328804885,0.39328804885,0.39328804885,0.39328804885,0.48272600579,0.47506592766,0.48969917631,0.46114715057,0.46114715057,0.46114715057
35.0,0.45877478208,0.45877478208,0.45877478208,0.45877478208,0.45877478208,0.49703410596,0.49341300361,0.49093408221,0.49910939315,0.49811042409,0.50278598383,0.4951951268,0.49294701036,0.47048565423,0.50278609793,0.50109436477,0.49320817762,0.44671524437,0.44671524437,0.44671524437,0.49211267233,0.5033333559,0.49581961892,0.48390814772,0.50217237561,0.50284602,0.48701275751,0.49269921265,0.45895609882,0.37735217788,0.37735217788,0.37735217788,0.37735217788,0.47926840562,0.47040735095,0.48735534221,0.45436632162,0.45436632162,0.45436632162
40.0,0.45265303571,0.45265303571,0.45265303571,0.45265303571,0.45265303571,0.49604686736,0.4919188186,0.48909536349,0.49841461799,0.49727468748,0.50261279178,0.49394989502,0.4913878959,0.46588327005,0.50261292212,0.50068064236,0.49168543918,0.43907966154,0.43907966154,0.43907966154,0.49043747931,0.50323819303,0.49466186802,0.48110391362,0.50191182784,0.50268138151,0.48463310989,0.49110560377,0.45285698994,0.362059764,0.362059764,0.362059764,0.362059764,0.47583549251,0.46579435509,0.48502269,0.44768475748,0.44768475748,0.44768475748
45.0,0.44661270421,0.44661270421,0.44661270421,0.44661270421,0.44661270421,0.49506158931,0.49042915312,0.48726352711,0.49772080953,0.49644035165,0.50243965938,0.49270779137,0.48983370557,0.46132587993,0.50243980594,0.50026726119,0.49016739474,0.43157417357,0.43157417357,0.43157417357,0.48876797721,0.50314304814,0.49350681692,0.47831590247,0.50165141522,0.5025167969,0.48226506645,0.48951714208,0.44683854078,0.3473850045,0.3473850045,0.3473850045,0.3473850045,0.47242709132,0.4612264961,0.48270116666,0.44110101786,0.44110101786,0.44110101786
