Time,CYP3A4_1A_n1_OCT_N,CYP3A4_1A_n2_OCT_N,CYP3A4_1A_n3_OCT_N,CYP3A4_1A_n4_OCT_N,CYP3A4_2_n1_OCT_N,CYP3A4_3_n1_OCT_N,CYP3A4_4_n1_OCT_N,CYP3A4_5_n1_OCT_N,CYP3A4_7_n1_OCT_N,CYP3A4_8_n1_OCT_N,CYP3A4_9_n1_OCT_N,CYP3A4_10_n1_OCT_N,CYP3A4_11_n1_OCT_N,CYP3A4_12_n1_OCT_N,CYP3A4_13_n1_OCT_N,CYP3A4_14_n1_OCT_N,CYP3A4_15_n1_OCT_N,CYP3A4_15_n3_OCT_N,CYP3A4_15_n4_OCT_N,CYP3A4_16_n1_OCT_N,CYP3A4_17_n1_OCT_N,CYP3A4_18_n1_OCT_N,CYP3A4_19_n1_OCT_N,CYP3A4_20_n1_OCT_N,CYP3A4_21_n1_OCT_N,CYP3A4_23_n1_OCT_N,CYP3A4_24_n1_OCT_N,CYP3A4_28_n1_OCT_N,CYP3A4_29_n1_OCT_N,CYP3A4_29_n2_OCT_N,CYP3A4_29_n3_OCT_N,CYP3A4_29_n4_OCT_N,CYP3A4_31_n1_OCT_N,CYP3A4_32_n1_OCT_N,CYP3A4_33_n1_OCT_N,CYP3A4_34_n1_OCT_N,CYP3A4_34_n3_OCT_N,CYP3A4_34_n4_OCT_N
50.0,9.870264809,9.8701316466,9.8701316465,9.8701316467,43.039706736,33.834037964,29.178330548,49.755408363,46.385864171,63.117946487,37.964481897,32.86448988,12.914983503,63.117998944,56.92645532,33.398205726,8.1357722074,8.1357722119,9.5585346445,31.234512193,65.025767986,39.583018276,20.540272994,60.907469255,63.330518879,23.699941676,32.369545131,9.8996334135,5.5148195256,5.641096774,5.6658055686,5.5251690467,17.050204114,12.879459235,24.088885518,9.1210503464,9.1210503463,9.1330330482
55.0,8.1173886351,8.1172688115,8.1172688114,8.1172688116,40.480386306,31.087888313,26.432023296,47.465685054,43.948007995,61.642970212,35.273730143,30.11261446,10.858646441,61.643026529,55.03135406,30.649125564,6.5971148744,6.5971148784,7.8673402206,28.479626651,63.694013325,36.926928555,18.002347197,59.274514208,61.871188657,21.050581365,29.615867217,8.1433704782,4.4374837988,4.5476842076,4.5692710737,4.4465079534,14.690985878,10.826188612,21.428786794,7.4562551849,7.4562551849,7.4669684056
60.0,6.6917622757,6.6916550902,6.6916550901,6.6916550903,38.07793002,28.571823917,23.952802877,45.284410925,41.64212892,60.20306646,32.779706147,27.598643462,9.1440664921,60.203126421,53.200960023,28.133649329,5.3668900574,5.3668900609,6.4951273069,25.975689769,62.389879722,34.454646004,15.789443629,57.686276644,60.446060179,18.707751976,27.104070975,6.7146083507,3.59921134,3.6953479241,3.7142000007,3.6070773088,12.6708959,9.1146111285,19.072673537,6.1118194824,6.1118194824,6.1213442656
65.0,5.5295506211,5.5294551814,5.5294551814,5.5294551815,35.822441824,26.265983127,21.71388845,43.20630392,39.460875752,58.79738497,30.467597765,25.301383859,7.7122159275,58.797448368,51.43300671,25.831323938,4.3801105302,4.3801105333,5.3783842137,23.699141057,61.112785399,32.15307362,13.858543102,56.141504306,59.05431651,16.634840669,24.812261695,5.5495433671,2.9419106357,3.0258387814,3.0423138348,2.9487722,10.939461083,7.6856312451,16.984688073,5.0231939362,5.0231939362,5.0316257971
70.0,4.5798683733,4.5797836975,4.5797836975,4.5797836976,33.704667749,24.152268198,19.691263025,41.226346522,37.397318394,57.42509658,28.323739987,23.201585055,6.5146253045,57.425163217,49.725309176,23.723538704,3.5860944129,3.5860944156,4.4668556594,21.628696199,59.862161089,30.010074255,12.172497387,54.638980899,57.695160684,14.799739794,22.720583845,4.5972980012,2.4226600528,2.4960404874,2.5104594213,2.4286546392,9.4539649422,6.4907381866,15.133329775,4.1393773698,4.1393773698,4.1468171501
75.0,3.8020580848,3.8019831695,3.8019831694,3.8019831695,31.715953064,22.214184276,17.863380258,39.33977211,35.444923021,56.085392689,26.335523614,21.281755901,5.5114331907,56.085462373,48.075761001,21.793354754,2.945190752,2.9451907543,3.7206575083,19.745121027,58.637449758,28.01439829,10.699204647,53.177525025,56.3678152,13.174276738,20.811025862,3.8172076853,2.0095022618,2.0737942153,2.0864394978,2.0147504594,8.1782195205,5.4900480938,13.490910601,3.419966609,3.419966609,3.4265145882
80.0,3.1635592235,3.1634930871,3.1634930871,3.1634930872,29.848202377,20.436693484,16.2109032,37.542052052,33.597528776,54.777484731,24.491311402,19.525999412,4.6698070373,54.777557279,46.482331387,20.025350674,2.42628155,2.4262815521,3.1080436232,18.031028552,57.438106337,26.155616916,9.4109038754,51.755989151,55.071521534,11.733717891,19.067244143,3.1766958916,1.678465799,1.7349361396,1.7460533835,1.6830721758,7.0815372562,4.6507192791,12.033080501,2.8328706423,2.8328706423,2.8386228988
85.0,2.638236025,2.6381777354,2.6381777354,2.6381777355,28.093842462,18.80608266,14.716471413,35.828883472,31.849325868,53.50060366,22.780361059,17.919863446,3.9626625709,53.500678896,44.943062359,18.405482798,2.0048700897,2.0048700915,2.6036722926,16.470696636,56.263597455,24.424060577,8.2835706992,50.373258608,53.805539661,10.456336839,17.474404293,2.6496060553,1.4114393324,1.4611793456,1.4709804179,1.4154938674,6.1378693799,3.9456674714,10.738413522,2.3525348045,2.3525348045,2.3575811174
90.0,2.2050623208,2.2050110103,2.2050110103,2.2050110103,26.44578764,17.309843426,13.364493299,34.196177681,30.194835004,52.253999459,21.192754506,16.450205738,3.367623667,52.254077212,43.456066076,16.920958709,1.66161337,1.6616133716,2.1872565215,15.049904148,55.113401182,22.810762155,7.2963996194,49.028250623,52.56914759,9.3230382528,16.019037897,2.2148891051,1.1946430699,1.2385881019,1.2472548265,1.1982228088,5.3250831355,3.3525226504,9.5880466151,1.9585575881,1.9585575881,1.962980376
95.0,1.8470847671,1.8470396398,1.8470396398,1.8470396399,24.897407511,15.936563411,12.140960834,32.6400492,28.628888054,51.036940648,19.719332894,15.105071891,2.866176254,51.037020755,42.019522246,15.560122665,1.3811920093,1.3811920107,1.8425101433,13.755783675,53.987006774,21.307404524,6.4313599779,47.719913377,51.361640912,8.3170300963,14.688913248,1.8555684444,1.0175215129,1.056470835,1.0641587673,1.0206922331,4.6243548576,2.8527807388,8.5653642834,1.6346104956,1.6346104956,1.6384844426
