Time,CYP3A4_2_OCT_N,CYP3A4_3_OCT_N,CYP3A4_4_OCT_N,CYP3A4_5_OCT_N,CYP3A4_7_OCT_N,CYP3A4_8_OCT_N,CYP3A4_9_OCT_N,CYP3A4_10_OCT_N,CYP3A4_11_OCT_N,CYP3A4_12_OCT_N,CYP3A4_13_OCT_N,CYP3A4_14_OCT_N,CYP3A4_15_OCT_N,CYP3A4_16_OCT_N,CYP3A4_17_OCT_N,CYP3A4_18_OCT_N,CYP3A4_19_OCT_N,CYP3A4_20_OCT_N,CYP3A4_21_OCT_N,CYP3A4_23_OCT_N,CYP3A4_24_OCT_N,CYP3A4_28_OCT_N,CYP3A4_29_OCT_N,CYP3A4_31_OCT_N,CYP3A4_32_OCT_N,CYP3A4_33_OCT_N,CYP3A4_34_OCT_N
7.0,64.593025142,63.799120134,63.25671851,65.046400279,64.828028837,65.84519741,64.189824202,63.696785523,58.946559058,65.845213503,65.478462886,63.753935519,55.819606061,63.513512638,65.963400057,64.326477541,61.729902559,65.712433426,65.85817123,62.400424957,63.642513903,56.770455715,53.253886267,60.740413124,58.928302826,62.473520461,56.544668539
7.5,63.615051031,62.778565824,62.207540534,64.093103491,63.862813515,64.936010724,63.190123837,62.67080162,57.683931344,64.936027715,64.54892535,62.730982185,54.420920679,62.477838662,65.060808536,63.334117415,60.602225383,64.795859934,64.949707572,61.306841428,62.613655983,55.410049595,51.774670339,59.563530314,57.664823326,61.383689682,55.175587282
8.0,62.652080944,61.774645904,61.176155262,63.153914595,62.912134538,64.039415282,62.206245821,61.661667896,56.449556116,64.039433142,63.632665473,61.724758364,53.059600154,61.459404527,64.170590612,62.35730005,59.495793063,63.892124233,64.053811183,60.232952062,61.601763202,54.084001487,50.342441793,58.410278782,56.429645062,60.313387279,53.841613141
8.5,61.703881609,60.787084194,60.162254362,62.228622708,61.975770425,63.155236106,61.237935691,60.669102284,55.242775268,63.155254806,62.72949234,60.734985287,51.734588396,60.457917416,63.292576252,61.395778301,58.410193478,63.001045681,63.170307633,59.178392813,60.606550338,52.791401535,48.955546253,57.280167869,55.222108064,59.262254212,52.541798509
9.0,60.770223432,59.815609185,59.16553496,61.317020134,61.053503113,62.283300659,60.284943144,59.692827533,54.062946607,62.283320172,61.839217802,59.761388919,50.444860716,59.473089588,62.426597765,60.449309017,57.345022726,62.122446194,62.299024922,58.14280654,59.627737058,51.531365047,47.612392768,56.172717436,54.041568339,58.229938205,51.275222578
9.5,59.850880436,58.85995396,58.185699541,60.418902312,60.145117901,61.423438816,59.347021971,58.732571116,52.909443457,61.423459113,60.961656436,58.803699874,49.189422852,58.504638287,61.572489771,59.517652971,56.299884964,61.256150204,61.439793448,57.125842869,58.665047835,50.303031771,46.311451195,55.087457627,52.887397478,57.216093622,50.040990547
10.0,58.945630206,57.91985611,57.222455855,59.534067774,59.250403395,60.575482822,58.423929979,57.788065157,51.781654273,60.575503877,60.096625504,57.861653341,47.967310022,57.552285652,60.730089174,58.600574797,55.274392233,60.40198463,60.592445974,56.127158065,57.718211858,49.105565194,45.051249699,54.023928642,51.758982253,56.220381337,48.838232856
10.5,58.054253827,56.995057664,56.275516819,58.662318092,58.369151465,59.739267265,57.515428937,56.859046342,50.678982257,59.739289051,59.243944912,56.934988996,46.777586006,56.615758632,59.899235122,57.697842929,54.268164306,59.559778837,59.75681759,55.146414896,56.786962956,47.938151856,43.83037236,52.981680518,50.655724249,55.242468606,47.666104443
11.0,57.176535834,56.085305004,55.344600423,57.803457834,57.501157182,58.914629041,56.621284499,55.945255848,49.600844996,58.914651532,58.403437178,56.023450931,45.619342261,55.6947889,59.079768982,56.809229533,53.280828522,58.729364603,58.932745689,54.183282514,55.871039513,46.800000689,42.64745689,51.960272909,49.577039485,54.282028949,46.52378402
11.5,56.312264155,55.190348797,54.429429641,56.957294518,56.64621878,58.101407321,55.741266145,55.046439255,48.546674096,58.101430493,57.574927385,55.126787577,44.491697065,54.789112772,58.27153431,55.934510451,52.312019635,57.910576087,58.120069926,53.237436329,54.97018439,45.690342381,41.501192441,50.959274877,48.522358058,53.338742022,45.410473381
