Time,C_B_target,CYP3A4_2_OCT,CYP3A4_3_OCT,CYP3A4_4_OCT,CYP3A4_5_OCT,CYP3A4_7_OCT,CYP3A4_8_OCT,CYP3A4_9_OCT,CYP3A4_10_OCT,CYP3A4_11_OCT,CYP3A4_12_OCT,CYP3A4_13_OCT,CYP3A4_14_OCT,CYP3A4_15_OCT,CYP3A4_16_OCT,CYP3A4_17_OCT,CYP3A4_18_OCT,CYP3A4_19_OCT,CYP3A4_20_OCT,CYP3A4_21_OCT,CYP3A4_23_OCT,CYP3A4_24_OCT,CYP3A4_28_OCT,CYP3A4_29_OCT,CYP3A4_31_OCT,CYP3A4_32_OCT,CYP3A4_33_OCT,CYP3A4_34_OCT
0.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.50332249671,0.31049321264,0.3286883397,0.34127314661,0.30021983875,0.30515758928,0.28232159119,0.31970096175,0.33105304836,0.44607535576,0.28232123372,0.290507127,0.32973190236,0.52886955369,0.33529924209,0.27969465088,0.31657268762,0.37739438371,0.28527872098,0.28203299155,0.36140234094,0.33230894779,0.50259118959,0.60837885978,0.4013755556,0.44653791148,0.35967130941,0.50895647617
1.0,0.50264589914,0.31043142587,0.32858849346,0.3411448712,0.30017798704,0.30510629186,0.28231186239,0.31962035765,0.3309479928,0.4456351083,0.28231150544,0.29048311362,0.32962976407,0.52795206147,0.33518467847,0.27968936149,0.31649857594,0.37717445683,0.28526391091,0.28202375388,0.36122488079,0.3322011011,0.50191556969,0.60582627762,0.40108604698,0.44609607799,0.3594982677,0.50819846606
1.5,0.5019702061,0.31036965139,0.32848867753,0.34101664398,0.30013614116,0.30505500305,0.28230213392,0.31953977386,0.33084297055,0.44519529508,0.2823017775,0.29045910222,0.32952765738,0.52703615462,0.33507015395,0.2796840722,0.3164244816,0.37695465794,0.28524910161,0.28201451651,0.36104750765,0.33209328937,0.50124085303,0.60328434076,0.40079674662,0.44565468073,0.35932530904,0.50744157914
2.0,0.50129541639,0.3103078892,0.3283888919,0.34088846495,0.30009430112,0.30500372286,0.28229240579,0.31945921037,0.33073798159,0.44475591567,0.2822920499,0.2904350928,0.32942558229,0.52612183041,0.33495566851,0.27967878301,0.31635040459,0.37673498696,0.28523429308,0.28200527944,0.36087022147,0.33198551259,0.5005670384,0.60075300534,0.40050765437,0.44521371928,0.3591524334,0.50668581376
2.5,0.50062152882,0.31024613929,0.32828913655,0.34076033407,0.3000524669,0.30495245129,0.282282678,0.31937866718,0.33063302591,0.44431696965,0.28228232263,0.29041108536,0.32932353879,0.52520908613,0.33484122212,0.27967349392,0.31627634491,0.37651544383,0.28521948533,0.28199604267,0.36069302221,0.33187777076,0.49989412463,0.59823222768,0.40021877008,0.44477319322,0.35897964072,0.50593116828
3.0,0.4999485422,0.31018440168,0.32818941148,0.34063225132,0.30001063852,0.30490118832,0.28227295054,0.31929814428,0.33052810351,0.44387845658,0.28227259569,0.29038707991,0.32922152686,0.52429791908,0.33472681479,0.27966820492,0.31620230255,0.37629602847,0.28520467833,0.28198680621,0.36051590984,0.33177006386,0.49922211051,0.59572196428,0.39993009361,0.4443331021,0.35880693098,0.50517764105
3.5,0.49927645533,0.31012267635,0.32808971668,0.34050421671,0.29996881596,0.30484993398,0.28226322341,0.31921764167,0.33042321437,0.44344037604,0.28226286909,0.29036307644,0.32911954649,0.52338832655,0.33461244649,0.27966291603,0.3161282775,0.37607674079,0.28518987211,0.28197757005,0.3603388843,0.33166239189,0.49855099487,0.59322217181,0.39964162479,0.44389344551,0.35863430413,0.50442523043
4.0,0.49860526702,0.3100609633,0.32799005215,0.34037623019,0.29992699923,0.30479868824,0.28225349662,0.31913715934,0.33031835849,0.4430027276,0.28225314283,0.29033907495,0.32901759769,0.52248030584,0.33449811721,0.27965762724,0.31605426978,0.37585758074,0.28517506666,0.28196833419,0.36016194555,0.33155475482,0.4978807765,0.5907328071,0.39935336349,0.44345422301,0.35846176013,0.50367393478
4.5,0.49793497609,0.30999926253,0.32789041786,0.34024829176,0.29988518833,0.30474745111,0.28224377017,0.3190566973,0.33021353585,0.44256551084,0.2822434169,0.29031507545,0.32891568043,0.52157385426,0.33438382694,0.27965233855,0.31598027936,0.37563854824,0.28516026197,0.28195909863,0.35998509356,0.33144715265,0.49721145422,0.58825382718,0.39906530955,0.44301543418,0.35828929895,0.50292375248
5.0,0.49726558135,0.30993757404,0.32779081382,0.3401204014,0.29984338326,0.30469622258,0.28223404405,0.31897625552,0.33010874644,0.44212872533,0.28223369131,0.29029107793,0.32881379471,0.52066896911,0.33426957567,0.27964704995,0.31590630625,0.3754196432,0.28514545805,0.28194986338,0.35980832828,0.33133958537,0.49654302686,0.58578518924,0.39877746284,0.4425770786,0.35811692054,0.50217468188
5.5,0.49659708161,0.30987589782,0.32769124001,0.33999255909,0.29980158401,0.30464500267,0.28222431826,0.31889583401,0.33000399025,0.44169237066,0.28222396605,0.29026708239,0.32871194051,0.51976564772,0.33415536338,0.27964176146,0.31583235045,0.37520086557,0.28513065491,0.28194062843,0.35963164967,0.33123205297,0.49587549322,0.58332685063,0.39848982319,0.44213915584,0.35794462486,0.50142672136
6.0,0.4959294757,0.30981423387,0.32759169643,0.3398647648,0.29975979059,0.30459379136,0.28221459281,0.31881543277,0.32989926727,0.44125644638,0.28221424112,0.29024308884,0.32861011784,0.5188638874,0.33404119006,0.27963647307,0.31575841194,0.37498221525,0.28511585253,0.28193139378,0.35945505768,0.33112455543,0.49520885212,0.58087876889,0.39820239046,0.44170166546,0.35777241188,0.50067986928
6.5,0.49526276242,0.30975258219,0.32749218306,0.33973701854,0.299718003,0.30454258865,0.2822048677,0.31873505179,0.32979457749,0.44082095209,0.28220451653,0.29021909726,0.32850832667,0.51796368547,0.33392705569,0.27963118478,0.31568449073,0.37476369219,0.28510105091,0.28192215943,0.35927855227,0.33101709275,0.49454310238,0.57844090173,0.39791516451,0.44126460706,0.35760028156,0.49993412402
7.0,0.4945969406,0.30969094278,0.32739269989,0.33960932026,0.29967622122,0.30449139454,0.28219514292,0.31865469105,0.3296899209,0.44038588735,0.28219479228,0.29019510767,0.328406567,0.51706503926,0.33381296027,0.27962589658,0.3156105868,0.3745452963,0.28508625007,0.28191292539,0.35910213341,0.33090966491,0.49387824283,0.57601320702,0.39762814518,0.4408279802,0.35742823385,0.49918948397
7.5,0.49393200906,0.30962931564,0.32729324693,0.33948166997,0.29963444527,0.30444020904,0.28218541848,0.31857435057,0.32958529749,0.43995125174,0.28218506836,0.29017112006,0.32830483881,0.51616794611,0.33369890378,0.27962060849,0.31553670017,0.37432702752,0.28507144999,0.28190369165,0.35892580104,0.3308022719,0.49321427229,0.5735956428,0.39734133233,0.44039178445,0.35725626872,0.49844594748
8.0,0.49326796662,0.30956770075,0.32719382415,0.33935406763,0.29959267515,0.30438903213,0.28217569437,0.31849403032,0.32948070725,0.43951704484,0.28217534478,0.29014713443,0.32820314211,0.51527240335,0.3335848862,0.2796153205,0.31546283082,0.37410888576,0.28505665069,0.28189445821,0.35874955513,0.3306949137,0.49255118957,0.57118816729,0.3970547258,0.4399560194,0.35708438612,0.49770351296
8.5,0.49260481211,0.30950609813,0.32709443155,0.33922651324,0.29955091084,0.30433786382,0.28216597059,0.31841373032,0.32937615017,0.43908326623,0.28216562153,0.29012315079,0.32810147687,0.51437840831,0.33347090753,0.27961003261,0.31538897874,0.37389087096,0.28504185215,0.28188522507,0.35857339564,0.33058759032,0.49188899351,0.56879073887,0.39676832546,0.43952068462,0.35691258603,0.49696217877
9.0,0.49194254435,0.30944450776,0.32699506911,0.33909900677,0.29950915235,0.30428670411,0.28215624715,0.31833345055,0.32927162623,0.43864991548,0.28215589862,0.29009916912,0.3279998431,0.51348595836,0.33335696775,0.27960474482,0.31531514394,0.37367298304,0.28502705438,0.28187599224,0.35839732251,0.33048030174,0.49122768294,0.56640331609,0.39648213116,0.43908577969,0.35674086839,0.49622194331
9.5,0.49128116217,0.30938292965,0.32689573684,0.33897154821,0.29946739969,0.30423555299,0.28214652405,0.318253191,0.32916713544,0.43821699218,0.28214617604,0.29007518944,0.32789824077,0.51259505084,0.33324306684,0.27959945712,0.31524132642,0.37345522192,0.28501225737,0.28186675971,0.35822133572,0.33037304794,0.49056725668,0.56402585767,0.39619614274,0.43865130418,0.35656923317,0.49548280496
10.0,0.49062066439,0.30932136379,0.32679643472,0.33884413753,0.29942565284,0.30418441046,0.28213680128,0.31817295168,0.32906267776,0.4377844959,0.28213645379,0.29005121173,0.32779666988,0.5117056831,0.3331292048,0.27959416953,0.31516752615,0.37323758754,0.28499746114,0.28185752748,0.35804543521,0.33026582892,0.48990771355,0.56165832248,0.39591036006,0.43821725768,0.35639768033,0.49474476212
